date	zone	hour	book	cum_mw	price
2023-01-17	IT-NORTH	4	ours	7.0	1.0
2023-01-17	IT-NORTH	4	ours	404.9	2.85
2023-01-17	IT-NORTH	4	ours	753.9	2.85
2023-01-17	IT-NORTH	4	ours	909.3	3.18
2023-01-17	IT-NORTH	4	ours	1025.5	3.18
2023-01-17	IT-NORTH	4	ours	1096.7	3.78
2023-01-17	IT-NORTH	4	ours	1229.2	3.78
2023-01-17	IT-NORTH	4	ours	1265.7	4.84
2023-01-17	IT-NORTH	4	ours	1364.9	4.84
2023-01-17	IT-NORTH	4	ours	1701.7	84.64
2023-01-17	IT-NORTH	4	ours	2105.9	118.41
2023-01-17	IT-NORTH	4	ours	3429.8	127.2
2023-01-17	IT-NORTH	4	ours	3913.4	141.78
2023-01-17	IT-NORTH	4	ours	4096.4	157.12
2023-01-17	IT-NORTH	4	ours	5589.1	167.72
2023-01-17	IT-NORTH	4	ours	6838.1	167.72
2023-01-17	IT-NORTH	4	ours	7873.8	167.72
2023-01-17	IT-NORTH	4	ours	9147.0	167.72
2023-01-17	IT-NORTH	4	ours	10979.1	167.72
2023-01-17	IT-NORTH	4	ours	12991.0	167.72
2023-01-17	IT-NORTH	4	ours	14326.4	167.72
2023-01-17	IT-NORTH	4	ours	14902.3	168.79
2023-01-17	IT-NORTH	4	ours	15478.9	186.95
2023-01-17	IT-NORTH	4	ours	16044.1	186.95
2023-01-17	IT-NORTH	4	ours	16456.3	186.95
2023-01-17	IT-NORTH	4	ours	16931.7	186.95
2023-01-17	IT-NORTH	4	ours	17531.5	186.95
2023-01-17	IT-NORTH	4	ours	17829.9	186.95
2023-01-17	IT-NORTH	4	ours	18524.9	186.95
2023-01-17	IT-NORTH	4	ours	19034.9	186.95
2023-01-17	IT-NORTH	4	ours	19902.1	191.62
2023-01-17	IT-NORTH	4	ours	20839.5	191.62
2023-01-17	IT-NORTH	4	ours	21628.7	191.62
2023-01-17	IT-NORTH	4	ours	21819.3	201.12
2023-01-17	IT-NORTH	4	ours	22076.6	222.57
2023-01-17	IT-NORTH	4	ours	22504.8	222.57
2023-01-17	IT-NORTH	4	ours	22842.6	222.57
2023-01-17	IT-NORTH	4	ours	23348.6	222.57
2023-01-17	IT-NORTH	4	ours	23771.3	222.57
2023-01-17	IT-NORTH	4	ours	24022.7	222.57
2023-01-17	IT-NORTH	4	ours	24480.9	222.57
2023-01-17	IT-NORTH	4	ours	24691.5	222.57
2023-01-17	IT-NORTH	4	ours	25150.0	284.88
2023-01-17	IT-NORTH	4	ours	25290.4	284.88
2023-01-17	IT-NORTH	4	ours	25529.4	284.88
2023-01-17	IT-NORTH	4	ours	25765.9	284.88
