date	zone	gme_zone	hour	our_sup_mw	gme_up_mw	gme_uvz_mw	our_dropped_badMW	our_dem_mw	gme_dem_cleared	gme_sup_cleared	gme_clear_price	our_implied_clear	our_price_at_gme_clearedQ	our_mw_below_P*	gme_up_mw_below_P*	our_marg_price	gme_marg_price	marg_markup_gme_minus_our	our_comp_le0/mid/hi/cap	gme_comp_le0/mid/hi/cap
2023-07-19	IT-NORTH	NORD	4	32648.0	24246.0	0.0	0.0	20290.0	17219.0	12784.0	96.62	104.77	94.0	16806.0	12790.0	94.0	85.14	-8.86	0.00/0.91/0.09/0.00	0.34/0.37/0.29/0.01
2023-07-19	IT-NORTH	NORD	12	36897.0	29133.0	0.0	0.0	28328.0	25582.0	22050.0	104.87	154.51	131.7	20993.0	22132.0	102.81	96.76	-6.05	0.00/0.70/0.29/0.01	0.47/0.36/0.16/0.01
2023-07-19	IT-NORTH	NORD	19	32599.0	28864.0	0.0	0.0	25513.0	25664.0	23201.0	205.0	211.72	211.72	21591.0	23201.0	184.57	140.12	-44.45	0.00/0.55/0.36/0.09	0.37/0.39/0.24/0.01
2023-07-19	IT-CNORTH	CNOR	4	2635.0	1761.0	0.0	0.0	3011.0	2500.0	1641.0	96.62		131.7	1541.0	1641.0	100.39	91.82	-8.57	0.00/0.74/0.11/0.15	0.53/0.46/0.01/0.01
2023-07-19	IT-CNORTH	CNOR	12	3686.0	2728.0	0.0	0.0	4538.0	4284.0	2583.0	104.87		114.38	2524.0	2583.0	97.27	79.89	-17.37	0.00/0.81/0.00/0.19	0.62/0.36/0.01/0.01
2023-07-19	IT-CNORTH	CNOR	19	2577.0	1901.0	0.0	0.0	3959.0	4134.0	1795.0	205.0		148.43	1894.0	1795.0	131.0	153.2	22.2	0.00/0.71/0.02/0.26	0.54/0.40/0.03/0.04
2023-07-19	IT-CSOUTH	CSUD	4	11747.0	6153.0	0.0	13068005.0	6125.0	5574.0	2173.0	96.62	104.76	94.0	5128.0	2173.0	94.0	89.32	-4.68	0.00/0.87/0.13/0.00	0.20/0.29/0.50/0.02
2023-07-19	IT-CSOUTH	CSUD	12	14496.0	8182.0	0.0	13068005.0	9417.0	9112.0	4980.0	104.87	129.01	94.0	7877.0	4980.0	94.0	97.33	3.32	0.00/0.86/0.14/0.00	0.37/0.27/0.34/0.01
2023-07-19	IT-CSOUTH	CSUD	19	11917.0	7914.0	0.0	13068005.0	8770.0	8830.0	5247.0	205.0	248.22	129.46	7270.0	5529.0	100.3	169.63	69.33	0.00/0.61/0.26/0.13	0.28/0.32/0.39/0.02
2023-07-19	IT-SOUTH	SUD	4	6371.0	5968.0	0.0	0.0	2462.0	2205.0	3114.0	96.62	94.0	124.39	3005.0	3115.0	101.36	91.14	-10.22	0.00/0.83/0.17/0.00	0.31/0.33/0.28/0.08
2023-07-19	IT-SOUTH	SUD	12	8608.0	7753.0	0.0	0.0	3506.0	3229.0	5387.0	104.87	94.0	103.9	6044.0	5387.0	95.65	96.27	0.61	0.00/0.91/0.09/0.00	0.41/0.38/0.15/0.06
2023-07-19	IT-SOUTH	SUD	19	6633.0	6227.0	0.0	0.0	3325.0	3253.0	4782.0	205.0	129.46	207.4	4178.0	4782.0	177.62	174.56	-3.07	0.00/0.62/0.26/0.12	0.33/0.34/0.24/0.09
2023-07-19	IT-Calabria	CALA	4	4310.0	3874.0	0.0	0.0	725.0	638.0	3072.0	96.62	94.0	104.17	2623.0	3073.0	101.63	92.34	-9.3	0.00/0.91/0.09/0.00	0.41/0.41/0.17/0.01
2023-07-19	IT-Calabria	CALA	12	4591.0	3117.0	0.0	0.0	1187.0	985.0	2403.0	104.87	94.0	94.0	2885.0	2404.0	94.0	92.77	-1.23	0.00/0.80/0.20/0.00	0.44/0.34/0.21/0.01
2023-07-19	IT-Calabria	CALA	19	4403.0	3723.0	0.0	0.0	1067.0	1002.0	3359.0	205.0	94.0	179.47	3484.0	3360.0	166.07	131.22	-34.84	0.00/0.63/0.37/0.00	0.47/0.43/0.09/0.01
2023-07-19	IT-Sicily	SICI	4	3346.0	2371.0	0.0	0.0	2292.0	2071.0	725.0	96.62	131.7	94.0	1743.0	725.0	94.0	29.25	-64.75	0.00/0.81/0.18/0.01	0.24/0.44/0.28/0.04
2023-07-19	IT-Sicily	SICI	12	4192.0	3105.0	0.0	0.0	3794.0	3071.0	2259.0	104.87	283.98	94.0	2354.0	2259.0	94.0	99.32	5.31	0.00/0.64/0.31/0.04	0.37/0.39/0.21/0.03
2023-07-19	IT-Sicily	SICI	19	3285.0	2836.0	0.0	0.0	3364.0	3049.0	1830.0	205.0		190.15	1949.0	1830.0	136.25	154.75	18.5	0.00/0.54/0.05/0.41	0.19/0.42/0.35/0.04
2023-07-19	IT-Sardinia	SARD	4	2148.0	1295.0	0.0	0.0	1057.0	1239.0	1160.0	96.62	131.7	140.86	123.0	1160.0	131.7	25.34	-106.36	0.00/0.74/0.26/0.00	0.87/0.08/0.00/0.05
2023-07-19	IT-Sardinia	SARD	12	2778.0	1812.0	0.0	0.0	1452.0	1443.0	1628.0	104.87	131.7	131.7	951.0	1628.0	131.7	21.87	-109.84	0.00/0.80/0.20/0.00	0.81/0.14/0.00/0.05
2023-07-19	IT-Sardinia	SARD	19	2157.0	1803.0	0.0	0.0	1500.0	1519.0	1570.0	205.0	335.49	335.49	1335.0	1570.0	306.52	81.67	-224.85	0.00/0.62/0.00/0.38	0.71/0.16/0.07/0.07
