date	zone	gme_zone	hour	our_sup_mw	gme_up_mw	gme_uvz_mw	our_dropped_badMW	our_dem_mw	gme_dem_cleared	gme_sup_cleared	gme_clear_price	our_implied_clear	our_price_at_gme_clearedQ	our_mw_below_P*	gme_up_mw_below_P*	our_marg_price	gme_marg_price	marg_markup_gme_minus_our	our_comp_le0/mid/hi/cap	gme_comp_le0/mid/hi/cap
2023-01-17	IT-NORTH	NORD	4	26945.0	18626.0	0.0	0.0	16584.0	15030.0	7042.0	141.0	186.95	167.72	3536.0	7045.0	167.72	44.77	-122.96	0.00/0.15/0.85/0.00	0.30/0.09/0.31/0.30
2023-01-17	IT-NORTH	NORD	12	27221.0	21400.0	0.0	0.0	25030.0	23475.0	15800.0	187.1	513.94	313.6	14389.0	15811.0	255.58	170.03	-85.55	0.00/0.13/0.40/0.47	0.37/0.12/0.33/0.18
2023-01-17	IT-NORTH	NORD	19	26946.0	23770.0	0.0	0.0	23754.0	23008.0	16719.0	194.58	444.65	298.65	14152.0	16722.0	271.56	171.53	-100.03	0.00/0.12/0.52/0.35	0.35/0.12/0.34/0.19
2023-01-17	IT-CNORTH	CNOR	4	2467.0	1702.0	0.0	0.0	2467.0	2131.0	1302.0	141.0	586.66	167.72	1202.0	1302.0	87.25	29.04	-58.21	0.00/0.49/0.31/0.20	0.72/0.05/0.21/0.02
2023-01-17	IT-CNORTH	CNOR	12	2550.0	1863.0	0.0	0.0	3459.0	3488.0	1713.0	187.1		167.72	1906.0	1713.0	167.72	168.3	0.58	0.00/0.52/0.27/0.21	0.67/0.05/0.20/0.08
2023-01-17	IT-CNORTH	CNOR	19	2480.0	1733.0	0.0	0.0	3375.0	3587.0	1696.0	194.58		167.72	1768.0	1696.0	167.72			0.00/0.48/0.30/0.22	0.72/0.04/0.21/0.02
2023-01-17	IT-CSOUTH	CSUD	4	12934.0	8441.0	0.0	13068005.0	4574.0	4271.0	2797.0	50.0	130.88	118.41	2550.0	2823.0	29.18	29.53	0.35	0.00/0.45/0.55/0.00	0.24/0.11/0.14/0.51
2023-01-17	IT-CSOUTH	CSUD	12	13410.0	9172.0	0.0	13068005.0	6688.0	7023.0	4215.0	187.1	167.72	127.2	9250.0	4215.0	123.43	108.11	-15.32	0.00/0.39/0.57/0.05	0.30/0.10/0.16/0.44
2023-01-17	IT-CSOUTH	CSUD	19	13212.0	9246.0	0.0	13068005.0	7608.0	7514.0	4934.0	194.58	167.72	167.72	8283.0	4942.0	127.2	171.83	44.63	0.00/0.36/0.40/0.24	0.31/0.10/0.22/0.37
2023-01-17	IT-SOUTH	SUD	4	8064.0	7389.0	0.0	0.0	1292.0	1479.0	3787.0	50.0	1.0	140.59	2336.0	3816.0	129.51	22.18	-107.33	0.00/0.47/0.53/0.00	0.39/0.15/0.20/0.26
2023-01-17	IT-SOUTH	SUD	12	9448.0	8887.0	0.0	0.0	2126.0	2246.0	5473.0	115.21	1.0	167.72	4005.0	5477.0	139.65	63.43	-76.22	0.00/0.55/0.45/0.00	0.42/0.22/0.14/0.22
2023-01-17	IT-SOUTH	SUD	19	9154.0	8601.0	0.0	0.0	2251.0	2524.0	5891.0	159.8	1.0	167.72	5083.0	5899.0	154.18	96.05	-58.12	0.00/0.54/0.46/0.00	0.47/0.21/0.09/0.23
2023-01-17	IT-Calabria	CALA	4	4739.0	3825.0	0.0	0.0	595.0	421.0	797.0	50.0	1.0	1.0	1141.0	822.0		12.11		0.00/0.26/0.74/0.00	0.18/0.03/0.40/0.38
2023-01-17	IT-Calabria	CALA	12	4593.0	3636.0	0.0	0.0	822.0	680.0	1081.0	115.21	2.85	167.55	995.0	1081.0	32.69	31.89	-0.8	0.00/0.23/0.77/0.00	0.26/0.24/0.11/0.40
2023-01-17	IT-Calabria	CALA	19	4527.0	3716.0	0.0	0.0	870.0	858.0	1626.0	159.8	3.98	167.72	1004.0	1909.0		143.33		0.00/0.22/0.78/0.00	0.28/0.11/0.22/0.38
2023-01-17	IT-Sicily	SICI	4	5205.0	3776.0	0.0	0.0	1562.0	1335.0	1957.0	50.0	167.72	167.72	934.0	1967.0	167.72	10.21	-157.52	0.00/0.24/0.74/0.02	0.46/0.07/0.36/0.11
2023-01-17	IT-Sicily	SICI	12	5923.0	4507.0	0.0	0.0	2136.0	2004.0	2684.0	115.21	167.72	167.72	1698.0	2684.0	167.72	25.34	-142.38	0.00/0.33/0.65/0.01	0.50/0.10/0.31/0.09
2023-01-17	IT-Sicily	SICI	19	5186.0	4159.0	0.0	0.0	2629.0	2394.0	2874.0	159.8	167.72	180.94	1163.0	2874.0	170.37	159.2	-11.17	0.00/0.22/0.42/0.36	0.45/0.06/0.29/0.20
2023-01-17	IT-Sardinia	SARD	4	3228.0	2208.0	0.0	0.0	1138.0	724.0	1952.0	9.7	6.83	127.2	1170.0	1975.0	122.8	1.69	-121.11	0.00/0.82/0.18/0.00	0.87/0.06/0.03/0.04
2023-01-17	IT-Sardinia	SARD	12	3468.0	2461.0	0.0	0.0	1459.0	1044.0	2182.0	187.1	84.64	127.2	3131.0	2183.0	122.8	43.89	-78.91	0.00/0.83/0.17/0.00	0.78/0.07/0.10/0.05
2023-01-17	IT-Sardinia	SARD	19	3055.0	2438.0	0.0	0.0	1583.0	1162.0	2186.0	194.58	127.2	287.92	2145.0	2186.0	181.2	35.04	-146.16	0.00/0.70/0.03/0.27	0.84/0.05/0.01/0.10
