EU	AT	20260303-0000	107.2200000000
EU	AT	20260303-0100	107.2200000000
EU	AT	20260303-0200	107.2200000000
EU	AT	20260303-0300	107.2200000000
EU	AT	20260303-0400	107.2200000000
EU	AT	20260303-0500	107.2200000000
EU	AT	20260303-0600	107.2200000000
EU	AT	20260303-0700	107.2200000000
EU	AT	20260303-0800	107.2200000000
EU	AT	20260303-0900	107.2200000000
EU	AT	20260303-1000	107.2200000000
EU	AT	20260303-1100	107.2200000000
EU	AT	20260303-1200	107.2200000000
EU	AT	20260303-1300	107.2200000000
EU	AT	20260303-1400	107.2200000000
EU	AT	20260303-1500	107.2200000000
EU	AT	20260303-1600	107.2200000000
EU	AT	20260303-1700	168.8800000000
EU	AT	20260303-1800	107.2200000000
EU	AT	20260303-1900	107.2200000000
EU	AT	20260303-2000	107.2200000000
EU	AT	20260303-2100	107.2200000000
EU	AT	20260303-2200	107.2200000000
EU	AT	20260303-2300	107.2200000000
EU	BE	20260303-0000	101.8600000000
EU	BE	20260303-0100	98.0600000000
EU	BE	20260303-0200	101.8600000000
EU	BE	20260303-0300	101.8600000000
EU	BE	20260303-0400	101.8600000000
EU	BE	20260303-0500	102.1000000000
EU	BE	20260303-0600	174.6200000000
EU	BE	20260303-0700	174.2500000000
EU	BE	20260303-0800	101.8600000000
EU	BE	20260303-0900	101.8600000000
EU	BE	20260303-1000	96.0400000000
EU	BE	20260303-1100	86.9000000000
EU	BE	20260303-1200	86.9000000000
EU	BE	20260303-1300	86.9000000000
EU	BE	20260303-1400	101.8600000000
EU	BE	20260303-1500	101.8600000000
EU	BE	20260303-1600	133.4900000000
EU	BE	20260303-1700	193.0000000000
EU	BE	20260303-1800	193.0000000000
EU	BE	20260303-1900	120.6900000000
EU	BE	20260303-2000	111.6700000000
EU	BE	20260303-2100	102.1000000000
EU	BE	20260303-2200	102.1000000000
EU	BE	20260303-2300	101.8600000000
EU	BG	20260303-0000	102.3300000000
EU	BG	20260303-0100	102.3300000000
EU	BG	20260303-0200	101.8600000000
EU	BG	20260303-0300	102.3300000000
EU	BG	20260303-0400	102.3300000000
EU	BG	20260303-0500	122.2400000000
EU	BG	20260303-0600	153.4700000000
EU	BG	20260303-0700	119.2700000000
EU	BG	20260303-0800	101.8600000000
EU	BG	20260303-0900	67.2200000000
EU	BG	20260303-1000	10.5000000000
EU	BG	20260303-1100	10.5000000000
EU	BG	20260303-1200	9.5000000000
EU	BG	20260303-1300	67.7200000000
EU	BG	20260303-1400	101.8600000000
EU	BG	20260303-1500	122.2400000000
EU	BG	20260303-1600	184.6500000000
EU	BG	20260303-1700	187.6400000000
EU	BG	20260303-1800	186.9700000000
EU	BG	20260303-1900	180.7600000000
EU	BG	20260303-2000	156.5200000000
EU	BG	20260303-2100	122.2400000000
EU	BG	20260303-2200	117.3500000000
EU	BG	20260303-2300	101.8600000000
EU	CH	20260303-0000	79.9100000000
EU	CH	20260303-0100	79.9100000000
EU	CH	20260303-0200	82.2800000000
EU	CH	20260303-0300	82.2800000000
EU	CH	20260303-0400	83.3800000000
EU	CH	20260303-0500	94.8400000000
EU	CH	20260303-0600	107.2200000000
EU	CH	20260303-0700	107.2200000000
EU	CH	20260303-0800	107.2200000000
EU	CH	20260303-0900	107.2200000000
EU	CH	20260303-1000	107.2200000000
EU	CH	20260303-1100	91.8200000000
EU	CH	20260303-1200	91.9500000000
EU	CH	20260303-1300	97.9300000000
EU	CH	20260303-1400	107.2200000000
EU	CH	20260303-1500	107.2200000000
EU	CH	20260303-1600	107.2200000000
EU	CH	20260303-1700	107.2200000000
EU	CH	20260303-1800	107.2200000000
EU	CH	20260303-1900	107.2200000000
EU	CH	20260303-2000	101.6600000000
EU	CH	20260303-2100	94.4700000000
EU	CH	20260303-2200	86.9700000000
EU	CH	20260303-2300	102.3300000000
EU	CZ	20260303-0000	101.2300000000
EU	CZ	20260303-0100	91.7300000000
EU	CZ	20260303-0200	91.7300000000
EU	CZ	20260303-0300	101.8400000000
EU	CZ	20260303-0400	101.8600000000
EU	CZ	20260303-0500	102.3300000000
EU	CZ	20260303-0600	102.3300000000
EU	CZ	20260303-0700	91.7300000000
EU	CZ	20260303-0800	67.7200000000
EU	CZ	20260303-0900	67.7200000000
EU	CZ	20260303-1000	67.7200000000
EU	CZ	20260303-1100	67.2200000000
EU	CZ	20260303-1200	67.7200000000
EU	CZ	20260303-1300	91.7300000000
EU	CZ	20260303-1400	101.8600000000
EU	CZ	20260303-1500	102.3300000000
EU	CZ	20260303-1600	102.3300000000
EU	CZ	20260303-1700	102.3300000000
EU	CZ	20260303-1800	102.3300000000
EU	CZ	20260303-1900	101.8600000000
EU	CZ	20260303-2000	102.3300000000
EU	CZ	20260303-2100	101.8600000000
EU	CZ	20260303-2200	101.8600000000
EU	CZ	20260303-2300	91.7300000000
EU	DE_LU	20260303-0000	101.2300000000
EU	DE_LU	20260303-0100	101.7000000000
EU	DE_LU	20260303-0200	101.8600000000
EU	DE_LU	20260303-0300	101.8600000000
EU	DE_LU	20260303-0400	101.8600000000
EU	DE_LU	20260303-0500	103.1700000000
EU	DE_LU	20260303-0600	125.0600000000
EU	DE_LU	20260303-0700	103.1700000000
EU	DE_LU	20260303-0800	102.3300000000
EU	DE_LU	20260303-0900	101.8600000000
EU	DE_LU	20260303-1000	91.7300000000
EU	DE_LU	20260303-1100	91.7300000000
EU	DE_LU	20260303-1200	91.7300000000
EU	DE_LU	20260303-1300	91.7300000000
EU	DE_LU	20260303-1400	101.8600000000
EU	DE_LU	20260303-1500	102.3300000000
EU	DE_LU	20260303-1600	163.8100000000
EU	DE_LU	20260303-1700	186.4100000000
EU	DE_LU	20260303-1800	181.3400000000
EU	DE_LU	20260303-1900	151.1800000000
EU	DE_LU	20260303-2000	121.4800000000
EU	DE_LU	20260303-2100	107.2200000000
EU	DE_LU	20260303-2200	102.3300000000
EU	DE_LU	20260303-2300	102.3300000000
EU	DK1	20260303-0000	101.2300000000
EU	DK1	20260303-0100	101.7000000000
EU	DK1	20260303-0200	101.8600000000
EU	DK1	20260303-0300	101.8600000000
EU	DK1	20260303-0400	101.8600000000
EU	DK1	20260303-0500	103.1700000000
EU	DK1	20260303-0600	125.0600000000
EU	DK1	20260303-0700	103.1700000000
EU	DK1	20260303-0800	102.3300000000
EU	DK1	20260303-0900	101.8600000000
EU	DK1	20260303-1000	91.7300000000
EU	DK1	20260303-1100	91.7300000000
EU	DK1	20260303-1200	91.7300000000
EU	DK1	20260303-1300	91.7300000000
EU	DK1	20260303-1400	101.8600000000
EU	DK1	20260303-1500	101.9000000000
EU	DK1	20260303-1600	130.2900000000
EU	DK1	20260303-1700	130.2900000000
EU	DK1	20260303-1800	130.2900000000
EU	DK1	20260303-1900	130.2900000000
EU	DK1	20260303-2000	121.4800000000
EU	DK1	20260303-2100	107.2200000000
EU	DK1	20260303-2200	102.3300000000
EU	DK1	20260303-2300	102.3300000000
EU	DK2	20260303-0000	101.2300000000
EU	DK2	20260303-0100	101.7000000000
EU	DK2	20260303-0200	101.8600000000
EU	DK2	20260303-0300	101.8600000000
EU	DK2	20260303-0400	101.8600000000
EU	DK2	20260303-0500	103.1700000000
EU	DK2	20260303-0600	125.0600000000
EU	DK2	20260303-0700	103.1700000000
EU	DK2	20260303-0800	102.3300000000
EU	DK2	20260303-0900	101.8600000000
EU	DK2	20260303-1000	91.7300000000
EU	DK2	20260303-1100	91.7300000000
EU	DK2	20260303-1200	91.7300000000
EU	DK2	20260303-1300	91.7300000000
EU	DK2	20260303-1400	101.8600000000
EU	DK2	20260303-1500	102.3300000000
EU	DK2	20260303-1600	163.8100000000
EU	DK2	20260303-1700	186.4100000000
EU	DK2	20260303-1800	181.3400000000
EU	DK2	20260303-1900	151.1800000000
EU	DK2	20260303-2000	121.4800000000
EU	DK2	20260303-2100	107.2200000000
EU	DK2	20260303-2200	102.3300000000
EU	DK2	20260303-2300	102.3300000000
EU	EE	20260303-0000	86.9400000000
EU	EE	20260303-0100	87.8300000000
EU	EE	20260303-0200	91.7300000000
EU	EE	20260303-0300	101.8400000000
EU	EE	20260303-0400	101.8600000000
EU	EE	20260303-0500	102.3300000000
EU	EE	20260303-0600	105.6100000000
EU	EE	20260303-0700	101.8600000000
EU	EE	20260303-0800	102.3300000000
EU	EE	20260303-0900	101.8600000000
EU	EE	20260303-1000	91.7300000000
EU	EE	20260303-1100	91.7300000000
EU	EE	20260303-1200	91.6800000000
EU	EE	20260303-1300	87.8700000000
EU	EE	20260303-1400	85.5500000000
EU	EE	20260303-1500	84.0100000000
EU	EE	20260303-1600	75.3400000000
EU	EE	20260303-1700	75.3400000000
EU	EE	20260303-1800	75.3400000000
EU	EE	20260303-1900	75.3400000000
EU	EE	20260303-2000	73.7600000000
EU	EE	20260303-2100	39.6600000000
EU	EE	20260303-2200	39.6600000000
EU	EE	20260303-2300	62.0500000000
EU	ES	20260303-0000	67.2200000000
EU	ES	20260303-0100	65.5300000000
EU	ES	20260303-0200	51.9200000000
EU	ES	20260303-0300	51.9500000000
EU	ES	20260303-0400	66.4000000000
EU	ES	20260303-0500	101.8600000000
EU	ES	20260303-0600	175.1100000000
EU	ES	20260303-0700	174.8300000000
EU	ES	20260303-0800	101.8600000000
EU	ES	20260303-0900	67.2200000000
