complexity	train_loss	test_mae_eur	test_corr	equation
1	0.3297162486290876	34.38752255032928	0.09527701723825034	1.1424935518934927
3	0.20374054466052968	24.81648676890702	0.7650607956340327	1.982542205170468 / margin
5	0.18986923119173915	24.030719613964717	0.7499567442421838	0.29247103423360826 - (-1.5389083321673591 / margin)
7	0.18490231454204958	26.684615312509127	0.7360949232664882	((d_hat + 0.5343445531084703) / margin) + 0.5155763496065322
8	0.1843014324157463	26.687261596119544	0.7263702548451401	0.5551736318369458 - ((-0.6907477133474916 - cube(d_hat)) / margin)
9	0.17964862778647783	25.758882180095338	0.7270067867202317	0.5985718869795537 - ((-0.5455678297403628 - (d_hat / margin)) / margin)
10	0.17788905735153596	24.64294058872364	0.7494806639194735	0.444181313951618 - ((-1.049097091905707 - (cube(d_hat) * 0.5774982132597843)) / margin)
11	0.17579529877065225	24.001264425134465	0.7501074742330917	0.42741194247996855 - ((-1.1684696641052983 - cube(cube(d_hat) * 0.8425562736133652)) / margin)
12	0.17531928470544192	24.030265986882547	0.7398096784096725	0.450034647069694 - ((-1.1507065988667513 - relu(d_hat + (0.5425037534499053 - margin))) / margin)
13	0.17338910389154005	23.857558386850652	0.7417885742280462	0.45027533329966957 - ((-1.1513910893266468 - relu((cube(d_hat) - margin) + 0.6509954710283405)) / margin)
16	0.17332717874769435	23.825575307671674	0.7421050297909082	0.44746582546643926 - ((-1.1583478878085591 - relu((((d_hat * 0.6684380269035936) + d_hat) * d_hat) - margin)) / margin)
17	0.17219868515377645	23.1742983059022	0.7544229465546709	(exp(relu(d_hat + (1.493558257253202 - (margin + (margin - d_hat))))) - -4.195214207774592) / (margin + 2.9141241994943172)
21	0.17197741773319628	23.50479707172864	0.7511867883471696	0.28492833266317247 - ((-2.4475995713889938 - exp(0.20569824499754277 - (margin + (((margin - d_hat) - square(d_hat)) * 1.5291224905579144)))) / (margin + 1.2999088285930656))
23	0.17167097097951578	23.344575461972497	0.7515062891327446	0.2593476971980703 - ((-2.530194401603116 - exp(d_hat + (margin * (-0.31169595764270197 - (((margin + margin) - cube(d_hat)) - d_hat))))) / (margin + 1.2407551276231013))
25	0.17150732310406092	23.281254109209492	0.752711907779059	0.21604338526415257 - ((-2.9042015109873884 - exp((d_hat + (margin * (-0.31033177616544294 - ((margin + (margin - d_hat)) - cube(d_hat))))) - -0.14115456456298536)) / (margin + 1.5134095622036619))
