complexity	train_loss	test_mae_eur	test_corr	equation
1	0.3297162486290876	34.38752256476183	0.09527701723825001	1.1424935529785671
3	0.20374054466052968	24.81648675929304	0.7650607956340335	1.9825422046227659 / margin
5	0.18986923119173915	24.030719613377222	0.7499567442133163	(1.538908331573924 / margin) + 0.2924710345881628
6	0.18599591204992083	25.14099107147412	0.717416909461626	(1.3309790869325635 / square(margin)) - -0.6578225086828468
7	0.18321221858595504	24.530076452698783	0.7291648076926575	0.5337131231412922 - (-0.7040714760700562 / (margin + -0.5155996743738697))
8	0.17770759760631094	22.394011285693015	0.7601878456841612	((imp_share + 1.4062637755213911) / square(margin)) - -0.6383327528947225
9	0.1735023091593321	21.88154450106709	0.8006413508895305	(1.1277480114164489 / (fill_frac + (margin - d_hat))) - -0.5136732299263626
11	0.16983919318204707	22.358914599877888	0.767132349305635	((imp_share - -1.6793805457629252) / (margin + (margin - d_hat))) - -0.5243151772813762
14	0.16893781268519528	21.560667025682257	0.7830064259588212	(((relu((d_hat - margin) + 0.528555406219456) + 1.2648638137594304) + imp_share) / margin) - -0.3931154407521328
15	0.16741536534533996	21.592215984595374	0.7815433472457429	(((relu(cube(d_hat) + (0.6299008240147599 - margin)) + imp_share) + 1.2700339436819568) / margin) - -0.39144353696989975
16	0.16434764543261288	20.78254969526566	0.8090734413710514	((imp_share + (relu((0.4027238222226392 / fill_frac) + (d_hat - margin)) + 1.2051753670423375)) / margin) - -0.41535053267173455
18	0.16152167083418556	20.72256404283669	0.8185533245418664	relu(((imp_share + (relu(d_hat - cube(fill_frac * (margin - imp_share))) + 1.1792520149859316)) / margin) - -0.43044154277765884)
19	0.1614388711299314	20.337421973960893	0.8159953235358769	(((imp_share + 1.2604087890452498) / margin) - -0.3977768286589382) + relu(((imp_share + d_hat) - (fill_frac + square(margin))) + 1.3719526272851432)
20	0.16114094449022406	20.621493219566176	0.8067928133884165	relu(cube((imp_share + d_hat) - (fill_frac + square(margin))) + 1.2779351904567313) + (((1.268165979605923 + imp_share) / margin) - -0.39409652975997983)
21	0.15944801950663234	20.359906134856132	0.8143114666151777	((imp_share + (relu((imp_share + (1.2779351904567313 + cube(d_hat))) - (square(fill_frac) + square(margin))) + 1.268165979605923)) / margin) - -0.39409652975997983
22	0.1591844954178554	20.71196572971617	0.8106731751377272	(((imp_share + relu((d_hat + (1.3269894933354867 / square(margin + cube(fill_frac - imp_share)))) - margin)) + 1.1792520149859316) / margin) - -0.43044154277765884
24	0.15882994677913229	20.2997122521711	0.8165652537665136	((imp_share + (relu((cube(d_hat) - (square(fill_frac) + (margin - imp_share))) + ((imp_share + 1.2779351904567313) / margin)) + 1.268165979605923)) / margin) - -0.39409652975997983
25	0.15876739165335513	20.76944061061168	0.8125308857068295	((relu(((d_hat + (0.06836626130444677 - (cube(fill_frac - imp_share) + margin))) + (0.9588887130859141 / margin)) + 0.0921567513755361) + (imp_share + 1.1792520149859316)) / margin) - -0.43044154277765884
26	0.15805396118646195	20.39619013923148	0.8169527475447131	(((imp_share + relu((d_hat - (margin + cube(fill_frac - imp_share))) + ((imp_share + 1.4027598694781296) / (cube(fill_frac) + margin)))) + 1.2596415663047886) / margin) - -0.39408319201924696
27	0.1572003344729605	20.81936602586831	0.8101347557921126	((relu((square(d_hat) - (cube(fill_frac - imp_share) + margin)) + (1.3269894933354867 / (margin + cube(fill_frac - 0.1435381023856944)))) + (imp_share + 1.1792520149859316)) / margin) - -0.43044154277765884
28	0.15709793520919169	20.86913397889519	0.8086830482909746	relu((((1.1792520149859316 + imp_share) + relu(((1.3786171126946327 / (cube(fill_frac - 0.1435381023856944) + margin)) + square(d_hat)) - (margin + cube(fill_frac - imp_share)))) / margin) - -0.43044154277765884)
29	0.15703238218282964	20.311298717591487	0.817064993347926	relu(((square(exp(cube(((imp_share + ((d_hat + (imp_share - fill_frac)) + 0.7004295320642753)) - relu(margin * margin)) - square(fill_frac)))) + (imp_share + 1.2801123508238998)) / margin) - -0.38854593242884167)
30	0.15703238218282883	20.311298212245152	0.8170650021933411	relu(relu((((imp_share + 1.2801124944918383) + square(exp(cube((((imp_share + d_hat) + (imp_share - fill_frac)) + (0.7004294820189232 - (relu(margin) * margin))) - square(fill_frac))))) / margin) - -0.3885458603579888))
