zone,n,corr,mae,bias,sim_mean,act_mean
AT,864,0.4860,61.5152,34.7533,150.9810,116.2277
BE,864,0.5147,38.8232,-16.8540,80.0716,96.9256
BG,864,0.4681,45.1937,20.9616,137.5804,116.6187
CH,864,0.4200,56.6747,37.5020,151.5080,114.0060
CZ,864,0.4704,58.8473,40.0249,153.8549,113.8299
DE_LU,864,0.6291,94.8559,90.5280,199.5321,109.0041
DK1,864,0.5939,81.7183,58.7474,165.7059,106.9585
DK2,864,0.4440,69.2598,45.0407,152.5057,107.4650
EE,864,0.4875,135.5128,98.4225,199.1181,100.6957
ES,864,0.8044,21.9747,5.4894,70.8369,65.3475
FI,864,0.4208,41.9364,-13.5635,58.4771,72.0406
FR,864,0.4356,33.7523,13.6998,78.9631,65.2633
GR,864,0.4924,30.9586,2.0511,106.5972,104.5461
HU,864,0.3468,59.4228,18.6278,145.8426,127.2149
IT-CNORTH,864,0.3645,43.7223,24.3182,150.5083,126.1902
IT-CSOUTH,864,0.7198,20.2431,-13.9121,110.2912,124.2033
IT-Calabria,864,0.7634,19.2414,-13.7482,108.2624,122.0106
IT-NORTH,864,0.3708,43.0591,23.5781,149.3022,125.7242
IT-SOUTH,864,0.7606,19.7021,-13.6878,108.5900,122.2778
IT-Sardinia,864,0.6583,24.0899,-14.4369,106.5036,120.9405
IT-Sicily,864,0.7466,20.3739,-11.7195,111.7410,123.4605
LT,864,0.4860,131.8012,91.9146,203.4472,111.5326
LV,864,0.4878,132.4293,87.9704,199.1181,111.1478
NL,864,0.5127,24.2478,-7.7242,95.2799,103.0040
NO1,864,0.0839,34.9941,8.4882,95.4006,86.9124
NO2,864,0.5296,51.6148,39.5089,132.3901,92.8812
NO3,864,0.3070,47.2714,29.5437,86.4164,56.8727
NO4,864,0.1691,30.0402,0.1959,29.6547,29.4588
NO5,864,0.3873,32.0553,9.6884,86.4909,76.8025
PL,864,0.5862,92.7797,84.3084,202.7874,118.4790
PT,864,0.7778,22.8690,6.2613,70.9543,64.6931
RO,864,0.5618,59.3268,33.1902,155.6894,122.4993
RS,864,0.3565,50.3037,27.4586,138.1107,110.6521
SE1,864,0.4712,31.0519,-15.1738,28.0805,43.2544
SE2,864,0.4888,29.7648,-14.0046,27.8225,41.8271
SE3,864,0.3737,48.7092,20.8267,94.3926,73.5658
SE4,864,0.3517,41.8722,7.3556,94.6684,87.3128
SI,864,0.4739,50.9506,4.3736,123.4175,119.0439
SK,864,0.5653,44.3164,-6.8643,110.8615,117.7258
