strategy	corr	mae	absresid	resid	mae_gain	days_better	n
big3_25	0.5911	37.5267	30.2132	9.7395	0.8763	37	60
MET_25	0.5870	37.7367	30.4020	9.5671	0.6662	35	60
big3_15	0.5946	37.8292	30.4263	11.1671	0.5738	37	60
MET_15	0.5917	37.9108	30.5237	11.0782	0.4922	36	60
Matra_25	0.5940	38.1246	30.5984	13.2490	0.2784	13	60
MVM_25	0.5865	38.1712	30.4518	12.7218	0.2318	34	60
Matra_15	0.5929	38.2126	30.6338	13.4248	0.1904	14	60
MVM_15	0.5858	38.2681	30.5787	13.0494	0.1349	31	60
baseline	0.5882	38.4030	30.7686	13.6585	0.0000	0	60
