strategy	corr	mae	absresid	resid	mae_gain	days_better	n
Total_25	0.6535	30.1931	21.3122	-1.6569	0.4846	21	60
Engie_15	0.6415	30.2245	21.9849	-1.5819	0.4532	26	60
Total_15	0.6514	30.2736	21.5654	-1.5729	0.4041	22	60
baseline	0.6511	30.6777	22.2246	-1.4644	0.0000	0	60
Engie_25	0.6322	30.9262	21.6249	-2.5956	-0.2485	24	60
EDF_15	0.6488	31.2320	22.1124	-8.5052	-0.5543	30	60
EDF_25	0.6449	32.1940	22.5040	-12.3021	-1.5163	26	60
