zone,unit_code,unit_name,firm,source
IT-Calabria,26WUUALTOMONTE1Z,UP_ALTOMONTE_1,Edison,"name-rule wave2 (July 2026), verify before publication"
IT-Calabria,26WUURIZZICONI1S,UP_RIZZICONI_1,EPH (Ergosud),"name-rule wave2 (July 2026), verify before publication"
IT-Calabria,26WUURIZZICONI2Q,UP_RIZZICONI_2,EPH (Ergosud),"name-rule wave2 (July 2026), verify before publication"
IT-Calabria,26WUUROSSANO-T1T,UP_ROSSANO_T_1,Enel,"name-rule wave2 (July 2026), verify before publication"
IT-Calabria,26WUUROSSANO-T3P,UP_ROSSANO_T_3,Enel,"name-rule wave2 (July 2026), verify before publication"
IT-Calabria,26WUUUMUCONE2S1W,UP_MUCONE_2S_1,Enel,"name-rule wave2 (July 2026), verify before publication"
IT-Calabria,26WUUUUUMUCONE1Q,UP_MUCONE_1,Enel,"name-rule wave2 (July 2026), verify before publication"
IT-Calabria,26WUUUUUSIMERI1O,UP_SIMERI_1,Edison,"name-rule wave2 (July 2026), verify before publication"
IT-Calabria,26WUUZMUCONE1S1I,UP_MUCONE_1S_1,Enel,"name-rule wave2 (July 2026), verify before publication"
