zone,unit_code,unit_name,firm,source
FR,17W100P100P0085B,SUPER BISSORTE 4,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P00869,SUPER BISSORTE 5,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P00877,VILLARODIN 1,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P00885,VILLARODIN 2,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P00893,COMBE D'AVRIEUX 1,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0090I,BELLEVILLE 1,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0091G,BELLEVILLE 2,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0092E,BLAYAIS 1,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0093C,BLAYAIS 2,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0094A,BLAYAIS 3,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P00958,BLAYAIS 4,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P00966,BUGEY 2,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P00974,BUGEY 3,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P00982,BUGEY 4,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P01004,BUGEY 5,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P01012,CATTENOM 1,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0103Z,CATTENOM 2,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0104X,CATTENOM 3,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0105V,CATTENOM 4,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0106T,CHINON 1,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0107R,CHINON 2,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0108P,CHINON 3,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0109N,CHINON 4,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P01101,CHOOZ 1,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0112Y,CHOOZ 2,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0113W,CIVAUX 1,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0114U,CIVAUX 2,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0115S,CRUAS 1,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0116Q,CRUAS 2,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0118M,CRUAS 3,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0119K,CRUAS 4,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0120Z,DAMPIERRE 1,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0121X,DAMPIERRE 2,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0122V,DAMPIERRE 3,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0123T,DAMPIERRE 4,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0124R,FESSENHEIM 1,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0125P,FESSENHEIM 2,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0126N,FLAMANVILLE 1,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0127L,FLAMANVILLE 2,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0128J,GOLFECH 1,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0129H,GOLFECH 2,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0130W,GRAVELINES 1,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0131U,GRAVELINES 2,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0132S,GRAVELINES 3,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0133Q,GRAVELINES 4,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0135M,GRAVELINES 5,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0136K,GRAVELINES 6,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0137I,NOGENT 1,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0138G,NOGENT 2,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0139E,PALUEL 1,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0140T,PALUEL 2,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0141R,PALUEL 3,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0142P,PALUEL 4,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0143N,PENLY 1,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0144L,PENLY 2,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0145J,ST ALBAN 1,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0146H,ST ALBAN 2,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0147F,ST LAURENT 1,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0148D,ST LAURENT 2,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0149B,TRICASTIN 1,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0150Q,TRICASTIN 2,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0152M,TRICASTIN 3,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0153K,TRICASTIN 4,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0165D,FR_MAREGES_G1,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0166B,SAINT-PIERRE,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P01679,COMBIGOLFE CCG,Engie,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0171I,SPEM CCG,TotalEnergies,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0172G,CHASTANG 1,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0173E,BLENOD 5,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0174C,MARTIGUES PONTEAU 5,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0175A,MARTIGUES PONTEAU 6,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P01768,BOUCHAIN 7,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P02578,BRENNILIS 1,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P02594,BRENNILIS 2,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0262F,DIRINON 1,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0264B,DIRINON 2,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0330O,DK6-TG1,Engie,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0331M,DK6-TV1,Engie,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0332K,DK6-TG2,Engie,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0333I,DK6-TV2,Engie,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0336C,SPEM pointe,TotalEnergies,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P03388,CYCOFOS PL1,Engie,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P03396,CYCOFOS PL2,Engie,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P03566,BATHIE 1,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P03574,BATHIE 2,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P03582,BATHIE 3,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P03590,BATHIE 4,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0360F,BATHIE 5,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0361D,BATHIE 6,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P03639,FLAMANVILLE 3,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P03655,PROVENCE 4,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P1204O,AVIGNON G1,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P1206K,AVIGNON G2,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P1209E,AVIGNON G3,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P1210T,AVIGNON G4,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P1211R,SAUVETERRE G1,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P1212P,SAUVETERRE G2,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P1230N,BREGNIER-CORDON G1,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P1231L,BREGNIER-CORDON G2,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P1268Z,BOLLENE G1,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P1269X,BOLLENE G2,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P1270B,BOLLENE G3,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P12719,BOLLENE G4,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P12727,BOLLENE G5,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P12735,BOLLENE G6,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P1288T,BRENS G1,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P1289R,BRENS G2,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P13189,BOURG-LES-VALENCE G1,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P13197,BOURG-LES-VALENCE G2,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P1320M,BOURG-LES-VALENCE G3,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P1321K,BOURG-LES-VALENCE G4,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P1324E,BOURG-LES-VALENCE G5,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P1325C,BOURG-LES-VALENCE G6,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P1330J,BEAUCAIRE G1,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P1331H,BEAUCAIRE G2,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P1332F,BEAUCAIRE G3,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P1333D,BEAUCAIRE G4,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P1334B,BEAUCAIRE G5,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P13359,BEAUCAIRE G6,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P13367,BEAUCHASTEL G1,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P13375,BEAUCHASTEL G2,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P13383,BEAUCHASTEL G3,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P13391,BEAUCHASTEL G4,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P1340G,BEAUCHASTEL G5,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P1341E,BEAUCHASTEL G6,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P13650,CADEROUSSE G1,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P1366Z,CADEROUSSE G2,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P1367X,CADEROUSSE G3,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P1368V,CADEROUSSE G4,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P1369T,CADEROUSSE G5,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P13715,CADEROUSSE G6,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P1485R,CHATEAUNEUF-DU-RHONE G1,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P1488L,CHATEAUNEUF-DU-RHONE G2,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P1490Y,CHATEAUNEUF-DU-RHONE G3,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P1491W,CHATEAUNEUF-DU-RHONE G4,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P1493S,CHATEAUNEUF-DU-RHONE G5,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P1496M,CHATEAUNEUF-DU-RHONE G6,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P15262,CHAUTAGNE G1,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P15270,CHAUTAGNE G2,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P1594M,GENISSIAT G1,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P1595K,GENISSIAT G2,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P1597G,GENISSIAT G3,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P1598E,GENISSIAT G4,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P1599C,GENISSIAT G5,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P1600G,GENISSIAT G6,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P16153,GERVANS G1,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P1618Y,GERVANS G2,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
