window	zone	arm	n	bias	mae	corr	eve_bias	eve_mae
march2026_stable	CH	treat	143	-20.23	22.10	0.82	-23.53	24.91
march2026_stable	CZ	base	143	-16.01	34.99	0.76	-57.33	58.02
march2026_stable	CZ	treat	143	-16.01	34.99	0.76	-57.33	58.02
march2026_stable	DE_LU	base	143	-1.24	21.78	0.92	-22.52	25.98
march2026_stable	DE_LU	treat	143	-1.60	21.83	0.92	-23.45	25.07
march2026_stable	DK1	base	143	-3.67	23.85	0.91	-32.46	35.10
march2026_stable	DK1	treat	143	-3.88	24.05	0.91	-32.46	35.10
march2026_stable	DK2	base	143	-10.26	21.27	0.86	-25.37	29.26
march2026_stable	DK2	treat	143	-10.61	21.23	0.86	-26.30	28.33
march2026_stable	EE	base	143	-30.62	42.90	0.65	-22.69	39.26
march2026_stable	EE	treat	143	-30.51	42.81	0.65	-22.69	39.26
march2026_stable	ES	base	143	27.19	30.64	0.78	36.75	43.73
march2026_stable	ES	treat	143	20.56	25.75	0.79	28.28	40.27
march2026_stable	FI	base	143	-12.73	15.95	0.90	-12.37	13.59
march2026_stable	FI	treat	143	-12.62	15.86	0.90	-12.37	13.59
march2026_stable	FR	base	143	17.82	26.38	0.82	17.91	28.76
march2026_stable	FR	treat	143	7.37	21.37	0.83	2.43	24.47
march2026_stable	GR	base	143	3.70	13.17	0.94	3.17	12.53
march2026_stable	GR	treat	143	3.70	13.17	0.94	3.17	12.53
march2026_stable	HU	base	143	-18.00	30.27	0.83	-17.67	31.26
march2026_stable	HU	treat	143	-18.00	30.27	0.83	-17.67	31.26
march2026_stable	IT-CNORTH	base	143	9.96	30.97	0.36	4.78	43.76
march2026_stable	IT-CNORTH	treat	143	9.89	31.02	0.35	4.78	43.76
march2026_stable	IT-CSOUTH	base	143	-13.91	17.80	0.70	-33.32	33.32
march2026_stable	IT-CSOUTH	treat	143	-13.93	17.79	0.70	-33.32	33.32
march2026_stable	IT-Calabria	base	143	-13.08	17.07	0.69	-33.32	33.32
march2026_stable	IT-Calabria	treat	143	-13.10	17.06	0.69	-33.32	33.32
march2026_stable	IT-NORTH	base	143	9.93	31.00	0.36	4.78	43.76
march2026_stable	IT-NORTH	treat	143	9.86	31.04	0.35	4.78	43.76
march2026_stable	IT-SOUTH	base	143	-13.91	17.80	0.70	-33.32	33.32
march2026_stable	IT-SOUTH	treat	143	-13.93	17.79	0.70	-33.32	33.32
march2026_stable	IT-Sardinia	base	143	-15.86	18.21	0.72	-27.61	27.61
march2026_stable	IT-Sardinia	treat	143	-15.88	18.20	0.72	-27.61	27.61
march2026_stable	IT-Sicily	base	143	-14.39	18.52	0.65	-36.57	37.76
march2026_stable	IT-Sicily	treat	143	-14.41	18.50	0.65	-36.57	37.76
march2026_stable	LT	base	143	-40.00	42.43	0.64	-44.84	44.84
march2026_stable	LT	treat	143	-39.94	42.45	0.64	-44.89	44.89
march2026_stable	LV	base	143	-43.71	45.24	0.61	-44.84	44.84
march2026_stable	LV	treat	143	-43.66	45.21	0.60	-44.89	44.89
march2026_stable	NL	base	143	-5.72	32.23	0.73	-47.89	48.91
march2026_stable	NL	treat	143	-5.86	32.28	0.74	-47.89	48.91
march2026_stable	NO1	base	143	-14.45	15.79	0.64	-17.50	21.55
march2026_stable	NO1	treat	143	-14.61	15.92	0.65	-17.50	21.55
march2026_stable	NO2	base	143	3.87	12.12	0.75	0.28	13.31
march2026_stable	NO2	treat	143	3.90	11.93	0.76	0.28	13.31
march2026_stable	NO3	base	143	12.23	24.37	-0.25	28.29	30.81
march2026_stable	NO3	treat	143	12.06	24.27	-0.24	28.29	30.81
march2026_stable	NO4	base	143	10.63	15.46	-0.08	2.93	19.13
march2026_stable	NO4	treat	143	10.63	15.46	-0.08	2.93	19.13
march2026_stable	NO5	base	143	-9.10	12.17	0.63	-10.03	17.34
march2026_stable	NO5	treat	143	-9.09	12.15	0.64	-10.03	17.34
march2026_stable	PL	base	143	-18.94	35.89	0.79	-67.62	67.62
march2026_stable	PL	treat	143	-18.94	35.89	0.79	-67.62	67.62
march2026_stable	PT	base	143	26.88	29.24	0.83	40.23	40.49
march2026_stable	PT	treat	143	20.96	24.95	0.82	32.26	36.79
march2026_stable	RO	base	143	0.62	20.89	0.90	-1.43	21.85
march2026_stable	RO	treat	143	0.62	20.89	0.90	-1.43	21.85
march2026_stable	RS	base	143	12.13	22.60	0.86	18.39	27.88
march2026_stable	RS	treat	143	12.13	22.60	0.86	18.39	27.88
march2026_stable	SE1	base	143	-5.21	18.31	0.70	-12.62	19.84
march2026_stable	SE1	treat	143	-5.21	18.31	0.70	-12.62	19.84
march2026_stable	SE2	base	143	-8.33	18.25	0.74	-14.80	18.46
march2026_stable	SE2	treat	143	-8.33	18.25	0.74	-14.80	18.46
march2026_stable	SE3	base	143	26.25	30.44	0.43	21.81	26.59
march2026_stable	SE3	treat	143	26.73	30.01	0.49	21.81	26.59
march2026_stable	SE4	base	143	-19.91	26.93	0.73	-36.60	37.06
march2026_stable	SE4	treat	143	-19.67	26.82	0.73	-36.03	36.70
march2026_stable	SI	base	143	-21.27	32.31	0.79	-31.65	32.78
march2026_stable	SI	treat	143	-21.27	32.31	0.79	-31.65	32.78
march2026_stable	SK	base	143	-19.09	37.49	0.79	-57.92	57.92
march2026_stable	SK	treat	143	-18.68	36.84	0.86	-57.92	57.92
