window	arm	zone	n	corr	mae	bias	sim_mean	act_mean
jul	A	BE	353	0.8624	34.106	-28.789	85.180	113.969
jul	A	BG	353	0.8526	31.550	-11.258	105.520	116.778
jul	A	CH	353	0.9034	34.128	-29.958	88.783	118.742
jul	A	CZ	353	0.7924	41.115	-36.365	79.286	115.651
jul	A	DE_LU	353	0.9511	28.348	-26.436	82.365	108.801
jul	A	DK1	353	0.9040	31.131	-28.084	79.650	107.735
jul	A	DK2	353	0.7792	44.645	-40.045	68.855	108.900
jul	A	EE	353	0.5810	31.278	-6.522	42.437	48.959
jul	A	ES	353	0.8769	27.852	-9.061	106.268	115.329
jul	A	FI	353	0.3774	10.849	3.435	17.270	13.835
jul	A	FR	353	0.8336	39.808	-29.832	74.066	103.899
jul	A	GR	353	0.8721	30.137	-9.605	106.245	115.850
jul	A	HU	353	0.6844	72.414	-71.806	51.944	123.750
jul	A	IT-CNORTH	353	0.5551	19.465	-15.053	141.218	156.271
jul	A	IT-CSOUTH	353	0.6489	19.209	-16.285	139.911	156.196
jul	A	IT-Calabria	353	0.6489	19.209	-16.285	139.911	156.196
jul	A	IT-NORTH	353	0.5553	18.557	-14.106	141.218	155.324
jul	A	IT-SOUTH	353	0.6489	19.209	-16.285	139.911	156.196
jul	A	IT-Sardinia	353	0.7070	23.195	-21.409	134.075	155.484
jul	A	IT-Sicily	353	0.6047	24.352	-19.852	143.414	163.266
jul	A	LT	353	0.7358	49.828	-46.384	46.330	92.714
jul	A	LV	353	0.7298	50.437	-47.888	42.918	90.807
jul	A	NL	353	0.8381	32.717	-21.170	87.284	108.454
jul	A	NO1	353	0.8064	29.047	-28.319	74.214	102.533
jul	A	NO2	353	0.8894	21.618	-20.685	88.001	108.686
jul	A	NO3	353	-0.0407	39.724	19.450	91.248	71.798
jul	A	NO4	353	0.1248	20.933	20.880	38.518	17.637
jul	A	NO5	353	0.6381	21.948	-18.305	84.548	102.853
jul	A	PL	353	0.7706	38.019	-30.766	87.406	118.172
jul	A	PT	353	0.8710	29.136	-10.521	107.553	118.074
jul	A	RO	353	0.8496	30.379	-10.047	110.902	120.950
jul	A	RS	353	0.8495	28.293	-1.353	111.064	112.417
jul	A	SE1	353	0.3682	28.789	22.392	34.992	12.600
jul	A	SE2	353	0.5636	20.528	12.886	25.692	12.805
jul	A	SE3	353	0.7854	17.875	9.318	68.740	59.422
jul	A	SE4	353	0.6404	50.481	-42.161	58.527	100.688
jul	A	SI	353	0.6252	80.769	-80.334	45.059	125.393
jul	A	SK	353	0.8223	51.292	-48.928	72.796	121.724
jul	B	AL	308	0.1987	53.645	36.374	150.519	114.146
jul	B	AT	308	0.8924	32.530	-30.920	87.827	118.748
jul	B	BE	308	0.8745	34.189	-28.553	83.466	112.019
jul	B	BG	308	0.8512	29.137	-5.526	111.311	116.837
jul	B	CH	308	0.9062	33.644	-28.745	89.108	117.854
jul	B	CZ	308	0.7893	41.362	-35.927	78.765	114.691
jul	B	DE_LU	308	0.9539	28.094	-25.913	82.729	108.641
jul	B	DK1	308	0.8298	32.003	-26.082	81.981	108.063
jul	B	DK2	308	0.7839	45.090	-39.657	69.588	109.245
jul	B	EE	308	0.5606	32.106	-4.152	43.983	48.135
jul	B	ES	308	0.8714	28.723	-10.089	105.231	115.320
jul	B	FI	308	0.3838	11.568	3.806	17.694	13.888
jul	B	FR	308	0.8444	40.090	-29.599	74.298	103.898
jul	B	GR	308	0.8811	27.586	-5.506	110.410	115.917
jul	B	HR	308	0.8464	27.294	-4.704	117.764	122.468
jul	B	HU	308	0.6405	83.782	-83.505	39.749	123.254
jul	B	IT-CNORTH	308	0.5512	20.498	-15.306	142.122	157.428
jul	B	IT-CSOUTH	308	0.6524	20.225	-16.804	140.624	157.428
jul	B	IT-Calabria	308	0.6524	20.225	-16.804	140.624	157.428
jul	B	IT-NORTH	308	0.5525	19.451	-14.221	142.122	156.343
jul	B	IT-SOUTH	308	0.6524	20.225	-16.804	140.624	157.428
