zone	timeslot	price
IT-Sardinia	20260301-1500	96.16
IT-Sardinia	20260301-0400	96.16
IT-Sardinia	20260301-0800	96.16
IT-Sardinia	20260301-1900	96.16
IT-Sardinia	20260301-0100	96.16
IT-Sardinia	20260301-1100	96.16
IT-Sardinia	20260301-2100	96.16
IT-Sardinia	20260301-1700	96.16
IT-Sardinia	20260301-1600	96.16
IT-Sardinia	20260301-0700	96.16
IT-Sardinia	20260301-2000	96.16
IT-Sardinia	20260301-2200	96.16
IT-Sardinia	20260301-2300	96.16
IT-Sardinia	20260301-1000	96.16
IT-Sardinia	20260301-1800	96.16
IT-Sardinia	20260301-0300	96.16
IT-Sardinia	20260301-1300	96.16
IT-Sardinia	20260301-0000	96.16
IT-Sardinia	20260301-0600	96.16
IT-Sardinia	20260301-0200	96.16
IT-Sardinia	20260301-0900	96.16
IT-Sardinia	20260301-1400	96.16
RS	20260301-0500	102.13
RS	20260301-1200	9.5
RS	20260301-1500	102.13
RS	20260301-0400	96.86
RS	20260301-0800	68.99
RS	20260301-1900	136.87
RS	20260301-0100	101.85
RS	20260301-1100	9.5
RS	20260301-2100	102.13
RS	20260301-1700	147.61
RS	20260301-1600	140.9
RS	20260301-0700	80.13
RS	20260301-2000	122.8
RS	20260301-2200	102.13
RS	20260301-2300	96.16
RS	20260301-1000	9.5
RS	20260301-1800	144.46
RS	20260301-0300	94.38
RS	20260301-1300	44.35
RS	20260301-0000	102.13
RS	20260301-0600	87.09
RS	20260301-0200	88.12
RS	20260301-0900	16.01
RS	20260301-1400	80.13
DK1	20260301-0500	84.35
DK1	20260301-1200	57
DK1	20260301-1500	84.35
DK1	20260301-0400	80.13
DK1	20260301-0800	80.13
DK1	20260301-1900	91.58
DK1	20260301-0100	69.06
DK1	20260301-1100	56.4
DK1	20260301-2100	84.35
DK1	20260301-1700	92.22
DK1	20260301-1600	101.08
DK1	20260301-0700	84.35
DK1	20260301-2000	91.58
DK1	20260301-2200	84.35
DK1	20260301-2300	80.13
DK1	20260301-1000	57
DK1	20260301-1800	91.58
DK1	20260301-0300	80.13
DK1	20260301-1300	63
DK1	20260301-0000	63
DK1	20260301-0600	84.35
DK1	20260301-0200	75.09
DK1	20260301-0900	78.2
DK1	20260301-1400	80.13
CH	20260301-0500	84.35
CH	20260301-1200	57.5
CH	20260301-1500	84.35
CH	20260301-0400	80.13
CH	20260301-0800	80.13
CH	20260301-1900	91.58
CH	20260301-0100	69.06
CH	20260301-1100	60.24
CH	20260301-2100	84.35
CH	20260301-1700	96.16
CH	20260301-1600	96.16
CH	20260301-0700	84.35
CH	20260301-2000	91.58
CH	20260301-2200	84.35
CH	20260301-2300	80.13
CH	20260301-1000	60.37
CH	20260301-1800	96.16
CH	20260301-0300	80.13
CH	20260301-1300	63
CH	20260301-0000	67.85
CH	20260301-0600	84.35
CH	20260301-0200	75.09
CH	20260301-0900	78.2
CH	20260301-1400	80.13
SE1	20260301-0500	49.04
SE1	20260301-1200	66.66
SE1	20260301-1500	62.86
SE1	20260301-0400	41.25
SE1	20260301-0800	64.15
SE1	20260301-1900	53.69
SE1	20260301-0100	36.62
SE1	20260301-1100	67.14
SE1	20260301-2100	49.94
SE1	20260301-1700	57.16
SE1	20260301-1600	60.4
SE1	20260301-0700	59.23
SE1	20260301-2000	50.83
SE1	20260301-2200	49.19
SE1	20260301-2300	36.57
SE1	20260301-1000	66.3
SE1	20260301-1800	55.96
SE1	20260301-0300	36.62
SE1	20260301-1300	65.39
SE1	20260301-0000	36.62
SE1	20260301-0600	54.52
SE1	20260301-0200	36.62
SE1	20260301-0900	64.97
SE1	20260301-1400	65.66
NO4	20260301-0500	20.79
NO4	20260301-1200	27.01
NO4	20260301-1500	31.8
NO4	20260301-0400	20.04
NO4	20260301-0800	25.06
NO4	20260301-1900	31.48
NO4	20260301-0100	17.71
NO4	20260301-1100	27.05
NO4	20260301-2100	31.07
NO4	20260301-1700	31.79
NO4	20260301-1600	31.38
NO4	20260301-0700	23.91
NO4	20260301-2000	31.64
NO4	20260301-2200	30.29
NO4	20260301-2300	27.11
NO4	20260301-1000	26.74
NO4	20260301-1800	32.47
NO4	20260301-0300	19.76
NO4	20260301-1300	28.59
