zone	timeslot	price
PT	20260306-1300	46.2
PT	20260306-0600	78.57
NO2	20260306-1600	136.09
NO2	20260306-0100	116.69
NO2	20260306-1400	117.89
NO2	20260306-0700	118.57
NO2	20260306-0300	117.79
NO2	20260306-1900	128.31
NO2	20260306-2000	118.57
NO2	20260306-2100	118.57
NO2	20260306-2300	118.57
NO2	20260306-0900	109.55
NO2	20260306-0400	118.11
NO2	20260306-2200	118.57
NO2	20260306-1700	163.61
NO2	20260306-1800	154.25
NO2	20260306-1200	91.46
NO2	20260306-0800	118.05
NO2	20260306-1100	81.11
NO2	20260306-0000	108.95
NO2	20260306-1000	109.55
NO2	20260306-0500	118.57
NO2	20260306-0200	117.79
NO2	20260306-1500	118.57
NO2	20260306-1300	98.97
NO2	20260306-0600	121.36
LV	20260306-1600	118.57
LV	20260306-0100	91.8
LV	20260306-1400	102.43
LV	20260306-0700	78.57
LV	20260306-0300	91.8
LV	20260306-1900	112.64
LV	20260306-2000	103.2
LV	20260306-2100	94.57
LV	20260306-2300	61.13
LV	20260306-0900	78.57
LV	20260306-0400	103.2
LV	20260306-2200	78.57
LV	20260306-1700	118.57
LV	20260306-1800	118.57
LV	20260306-1200	75
LV	20260306-0800	5.93
LV	20260306-1100	9.5
LV	20260306-0000	91.8
LV	20260306-1000	9.5
LV	20260306-0500	118.57
LV	20260306-0200	91.8
LV	20260306-1500	103.2
LV	20260306-1300	91.8
LV	20260306-0600	127.1
NL	20260306-1600	112.64
NL	20260306-0100	102.43
NL	20260306-1400	103.2
NL	20260306-0700	112.64
NL	20260306-0300	103.2
NL	20260306-1900	112.64
NL	20260306-2000	112.64
NL	20260306-2100	112.64
NL	20260306-2300	107.61
NL	20260306-0900	103.2
NL	20260306-0400	103.2
NL	20260306-2200	112.64
NL	20260306-1700	112.64
NL	20260306-1800	112.64
NL	20260306-1200	101.47
NL	20260306-0800	103.2
NL	20260306-1100	101.47
NL	20260306-0000	103.2
NL	20260306-1000	103.2
NL	20260306-0500	103.2
NL	20260306-0200	102.43
NL	20260306-1500	110.03
NL	20260306-1300	103.2
NL	20260306-0600	112.64
NO5	20260306-1600	118.57
NO5	20260306-0100	96.77
NO5	20260306-1400	97.94
NO5	20260306-0700	107.41
NO5	20260306-0300	97.67
NO5	20260306-1900	118.15
NO5	20260306-2000	107.41
NO5	20260306-2100	107.41
NO5	20260306-2300	98.41
NO5	20260306-0900	92.97
NO5	20260306-0400	97.94
NO5	20260306-2200	99.7
NO5	20260306-1700	118.57
NO5	20260306-1800	118.57
NO5	20260306-1200	81.72
NO5	20260306-0800	98.04
NO5	20260306-1100	75.55
NO5	20260306-0000	92.16
NO5	20260306-1000	92.97
NO5	20260306-0500	102.91
NO5	20260306-0200	97.67
NO5	20260306-1500	106.16
NO5	20260306-1300	86.66
NO5	20260306-0600	112.2
BE	20260306-1600	188.28
BE	20260306-0100	91.33
BE	20260306-1400	112.64
BE	20260306-0700	112.64
BE	20260306-0300	92.19
BE	20260306-1900	158.92
BE	20260306-2000	112.64
BE	20260306-2100	112.64
BE	20260306-2300	103.2
BE	20260306-0900	87.75
BE	20260306-0400	102.71
BE	20260306-2200	112.64
BE	20260306-1700	204.99
BE	20260306-1800	213.43
BE	20260306-1200	78.57
BE	20260306-0800	102.82
BE	20260306-1100	78.57
BE	20260306-0000	86.98
BE	20260306-1000	87.75
BE	20260306-0500	107.92
BE	20260306-0200	92.19
BE	20260306-1500	112.64
BE	20260306-1300	90.88
BE	20260306-0600	112.64
RO	20260306-1600	135.17
RO	20260306-0100	102.43
RO	20260306-1400	67.83
RO	20260306-0700	78.57
RO	20260306-0300	102.43
RO	20260306-1900	135.17
RO	20260306-2000	135.17
RO	20260306-2100	112.64
RO	20260306-2300	112.64
RO	20260306-0900	5.39
RO	20260306-0400	112.64
RO	20260306-2200	112.64
RO	20260306-1700	187.1
RO	20260306-1800	172.46
RO	20260306-1200	5.39
RO	20260306-0800	8.42
RO	20260306-1100	5.14
RO	20260306-0000	102.43
RO	20260306-1000	5
RO	20260306-0500	112.64
RO	20260306-0200	102.43
RO	20260306-1500	112.64
RO	20260306-1300	5.93
RO	20260306-0600	112.64
DK2	20260306-1600	146.36
DK2	20260306-0100	102.43
DK2	20260306-1400	102.43
DK2	20260306-0700	112.64
DK2	20260306-0300	103.2
DK2	20260306-1900	135.17
DK2	20260306-2000	118.57
DK2	20260306-2100	112.64
DK2	20260306-2300	107.61
DK2	20260306-0900	101.63
DK2	20260306-0400	103.2
DK2	20260306-2200	112.64
DK2	20260306-1700	185.92
DK2	20260306-1800	172.46
DK2	20260306-1200	75
DK2	20260306-0800	102.43
DK2	20260306-1100	67.83
DK2	20260306-0000	102.03
DK2	20260306-1000	91.8
DK2	20260306-0500	118.57
DK2	20260306-0200	102.43
DK2	20260306-1500	112.64
DK2	20260306-1300	91.8
DK2	20260306-0600	127.1
BG	20260306-1600	135.17
BG	20260306-0100	102.43
BG	20260306-1400	67.83
BG	20260306-0700	78.57
BG	20260306-0300	102.43
BG	20260306-1900	135.17
BG	20260306-2000	135.17
BG	20260306-2100	112.64
BG	20260306-2300	112.64
BG	20260306-0900	5.39
BG	20260306-0400	112.64
BG	20260306-2200	112.64
BG	20260306-1700	187.1
BG	20260306-1800	172.46
BG	20260306-1200	5.39
BG	20260306-0800	8.42
BG	20260306-1100	5.14
BG	20260306-0000	102.43
BG	20260306-1000	5
BG	20260306-0500	112.64
BG	20260306-0200	102.43
BG	20260306-1500	112.64
BG	20260306-1300	5.93
BG	20260306-0600	112.64
IT-CSOUTH	20260306-1600	135.17
IT-CSOUTH	20260306-0100	135.17
IT-CSOUTH	20260306-1400	135.17
IT-CSOUTH	20260306-0700	135.17
IT-CSOUTH	20260306-0300	135.17
IT-CSOUTH	20260306-1900	135.17
IT-CSOUTH	20260306-2000	135.17
IT-CSOUTH	20260306-2100	135.17
IT-CSOUTH	20260306-2300	135.17
IT-CSOUTH	20260306-0900	135.17
IT-CSOUTH	20260306-0400	135.17
IT-CSOUTH	20260306-2200	135.17
IT-CSOUTH	20260306-1700	135.17
IT-CSOUTH	20260306-1800	135.17
IT-CSOUTH	20260306-1200	135.17
IT-CSOUTH	20260306-0800	135.17
IT-CSOUTH	20260306-1100	135.17
IT-CSOUTH	20260306-0000	135.17
IT-CSOUTH	20260306-1000	135.17
IT-CSOUTH	20260306-0500	135.17
IT-CSOUTH	20260306-0200	135.17
IT-CSOUTH	20260306-1500	135.17
IT-CSOUTH	20260306-1300	135.17
IT-CSOUTH	20260306-0600	135.17
CZ	20260306-1600	102.43
CZ	20260306-0100	91.8
CZ	20260306-1400	67.83
CZ	20260306-0700	102.43
CZ	20260306-0300	91.8
CZ	20260306-1900	102.43
CZ	20260306-2000	102.43
CZ	20260306-2100	91.8
CZ	20260306-2300	67.83
CZ	20260306-0900	67.83
CZ	20260306-0400	102.43
CZ	20260306-2200	91.8
CZ	20260306-1700	102.43
CZ	20260306-1800	102.43
CZ	20260306-1200	57
CZ	20260306-0800	76.42
CZ	20260306-1100	56.63
CZ	20260306-0000	91.8
CZ	20260306-1000	57
CZ	20260306-0500	102.43
CZ	20260306-0200	91.8
CZ	20260306-1500	91.8
CZ	20260306-1300	67.83
CZ	20260306-0600	102.43
NO3	20260306-1600	129.5
NO3	20260306-0100	91.33
NO3	20260306-1400	102.72
NO3	20260306-0700	101.38
NO3	20260306-0300	92.19
NO3	20260306-1900	123.9
NO3	20260306-2000	112.64
NO3	20260306-2100	101.38
NO3	20260306-2300	92.88
NO3	20260306-0900	97.5
NO3	20260306-0400	92.44
NO3	20260306-2200	94.1
NO3	20260306-1700	149.28
NO3	20260306-1800	142.55
NO3	20260306-1200	85.7
NO3	20260306-0800	92.53
NO3	20260306-1100	79.24
NO3	20260306-0000	86.98
NO3	20260306-1000	97.5
NO3	20260306-0500	97.13
NO3	20260306-0200	92.19
NO3	20260306-1500	111.34
NO3	20260306-1300	90.88
NO3	20260306-0600	105.9
NO1	20260306-1600	116.55
NO1	20260306-0100	91.33
NO1	20260306-1400	92.44
NO1	20260306-0700	101.38
NO1	20260306-0300	92.19
NO1	20260306-1900	111.51
NO1	20260306-2000	101.38
NO1	20260306-2100	101.38
NO1	20260306-2300	92.88
NO1	20260306-0900	87.75
NO1	20260306-0400	92.44
NO1	20260306-2200	94.1
NO1	20260306-1700	118.57
NO1	20260306-1800	118.57
NO1	20260306-1200	77.13
NO1	20260306-0800	92.53
NO1	20260306-1100	71.31
NO1	20260306-0000	86.98
NO1	20260306-1000	87.75
NO1	20260306-0500	97.13
NO1	20260306-0200	92.19
NO1	20260306-1500	100.2
NO1	20260306-1300	81.8
NO1	20260306-0600	105.9
DE_LU	20260306-1600	146.36
DE_LU	20260306-0100	102.43
DE_LU	20260306-1400	102.43
DE_LU	20260306-0700	112.64
DE_LU	20260306-0300	103.2
DE_LU	20260306-1900	135.17
DE_LU	20260306-2000	118.57
DE_LU	20260306-2100	112.64
DE_LU	20260306-2300	107.61
DE_LU	20260306-0900	101.63
DE_LU	20260306-0400	103.2
DE_LU	20260306-2200	112.64
DE_LU	20260306-1700	185.92
DE_LU	20260306-1800	172.46
DE_LU	20260306-1200	75
DE_LU	20260306-0800	102.43
DE_LU	20260306-1100	67.83
DE_LU	20260306-0000	102.03
DE_LU	20260306-1000	91.8
DE_LU	20260306-0500	118.57
DE_LU	20260306-0200	102.43
DE_LU	20260306-1500	112.64
DE_LU	20260306-1300	91.8
DE_LU	20260306-0600	127.1
SK	20260306-1600	116.55
SK	20260306-0100	91.33
SK	20260306-1400	92.44
SK	20260306-0700	101.38
SK	20260306-0300	92.19
SK	20260306-1900	111.51
SK	20260306-2000	101.38
SK	20260306-2100	101.38
SK	20260306-2300	92.88
SK	20260306-0900	87.75
SK	20260306-0400	92.44
SK	20260306-2200	94.1
SK	20260306-1700	118.57
SK	20260306-1800	118.57
SK	20260306-1200	77.13
SK	20260306-0800	92.53
SK	20260306-1100	71.31
SK	20260306-0000	86.98
SK	20260306-1000	87.75
SK	20260306-0500	97.13
SK	20260306-0200	92.19
SK	20260306-1500	100.2
SK	20260306-1300	81.8
SK	20260306-0600	105.9
EE	20260306-1600	75.34
EE	20260306-0100	75.34
EE	20260306-1400	39.66
EE	20260306-0700	39.66
EE	20260306-0300	75.34
EE	20260306-1900	75.34
EE	20260306-2000	39.66
EE	20260306-2100	39.66
EE	20260306-2300	39.66
EE	20260306-0900	9.5
EE	20260306-0400	103.2
EE	20260306-2200	39.66
EE	20260306-1700	75.34
EE	20260306-1800	75.34
EE	20260306-1200	9.5
EE	20260306-0800	5
EE	20260306-1100	9.5
EE	20260306-0000	75.34
EE	20260306-1000	9.5
EE	20260306-0500	118.57
EE	20260306-0200	75.34
EE	20260306-1500	75.34
EE	20260306-1300	9.5
EE	20260306-0600	75.34
SE4	20260306-1600	118.57
SE4	20260306-0100	91.8
SE4	20260306-1400	102.43
SE4	20260306-0700	112.64
SE4	20260306-0300	91.8
SE4	20260306-1900	112.64
SE4	20260306-2000	103.2
SE4	20260306-2100	94.57
SE4	20260306-2300	61.13
SE4	20260306-0900	101.63
SE4	20260306-0400	103.2
SE4	20260306-2200	78.57
SE4	20260306-1700	118.57
SE4	20260306-1800	118.57
SE4	20260306-1200	75
SE4	20260306-0800	103.2
SE4	20260306-1100	67.83
SE4	20260306-0000	91.8
SE4	20260306-1000	91.8
SE4	20260306-0500	118.57
SE4	20260306-0200	91.8
SE4	20260306-1500	103.2
SE4	20260306-1300	91.8
SE4	20260306-0600	127.1
SI	20260307-1600	140.64
SI	20260307-1200	5.39
SI	20260307-2200	111.09
SI	20260307-0300	111.43
SI	20260307-2000	102.34
SI	20260307-0800	9.5
SI	20260307-1900	117.1
SI	20260307-2100	117.1
SI	20260307-1800	102.34
SI	20260307-0900	9.5
SI	20260307-0000	117.2
SI	20260307-2300	103.43
SI	20260307-1000	5.39
SI	20260307-1100	5
SI	20260307-0200	111.09
SI	20260307-1700	123.37
SI	20260307-0400	111.15
SI	20260307-1400	67.73
SI	20260307-1300	6.17
SI	20260307-0600	83.37
SI	20260307-0700	9.5
SI	20260307-1500	117.2
SI	20260307-0100	111.09
SI	20260307-0500	102.34
ES	20260307-1600	73.87
ES	20260307-1200	40.37
ES	20260307-2200	117.2
ES	20260307-0300	56.57
ES	20260307-2000	215.88
ES	20260307-0800	72.38
ES	20260307-1900	215.9
ES	20260307-2100	203.93
ES	20260307-1800	138.68
ES	20260307-0900	45.52
ES	20260307-0000	83.72
ES	20260307-2300	117.2
ES	20260307-1000	41.67
ES	20260307-1100	40.37
ES	20260307-0200	70.92
ES	20260307-1700	117.2
ES	20260307-0400	57
ES	20260307-1400	47.99
ES	20260307-1300	43.23
ES	20260307-0600	83.37
ES	20260307-0700	83.37
ES	20260307-1500	49.49
ES	20260307-0100	74.69
ES	20260307-0500	71.6
GR	20260307-1600	117.2
GR	20260307-1200	5.39
GR	20260307-2200	117.2
GR	20260307-0300	111.43
GR	20260307-2000	117.2
GR	20260307-0800	1
GR	20260307-1900	117.2
GR	20260307-2100	117.2
GR	20260307-1800	140.64
GR	20260307-0900	1
GR	20260307-0000	117.2
GR	20260307-2300	103.43
GR	20260307-1000	5.39
GR	20260307-1100	5
GR	20260307-0200	111.09
GR	20260307-1700	140.64
GR	20260307-0400	111.15
GR	20260307-1400	67.73
GR	20260307-1300	6.17
GR	20260307-0600	83.37
GR	20260307-0700	6.17
GR	20260307-1500	117.2
GR	20260307-0100	111.09
GR	20260307-0500	102.34
IT-CNORTH	20260307-1600	140.64
IT-CNORTH	20260307-1200	123.8
IT-CNORTH	20260307-2200	140.64
IT-CNORTH	20260307-0300	140.64
IT-CNORTH	20260307-2000	140.64
IT-CNORTH	20260307-0800	140.64
IT-CNORTH	20260307-1900	140.64
IT-CNORTH	20260307-2100	140.64
IT-CNORTH	20260307-1800	140.64
IT-CNORTH	20260307-0900	140.64
IT-CNORTH	20260307-0000	140.64
IT-CNORTH	20260307-2300	140.64
IT-CNORTH	20260307-1000	123.8
IT-CNORTH	20260307-1100	123.8
IT-CNORTH	20260307-0200	140.64
IT-CNORTH	20260307-1700	140.64
IT-CNORTH	20260307-0400	140.64
IT-CNORTH	20260307-1400	139.44
IT-CNORTH	20260307-1300	123.8
IT-CNORTH	20260307-0600	140.64
IT-CNORTH	20260307-0700	140.64
IT-CNORTH	20260307-1500	140.64
IT-CNORTH	20260307-0100	140.64
IT-CNORTH	20260307-0500	140.64
HU	20260307-1600	145.01
HU	20260307-1200	5.39
HU	20260307-2200	111.09
HU	20260307-0300	111.43
HU	20260307-2000	117.2
HU	20260307-0800	8.06
HU	20260307-1900	117.2
HU	20260307-2100	117.2
HU	20260307-1800	140.64
HU	20260307-0900	5.39
HU	20260307-0000	117.2
HU	20260307-2300	103.43
HU	20260307-1000	5.39
HU	20260307-1100	5
HU	20260307-0200	111.09
HU	20260307-1700	155.83
HU	20260307-0400	111.15
HU	20260307-1400	67.73
HU	20260307-1300	6.17
HU	20260307-0600	83.37
HU	20260307-0700	9.5
HU	20260307-1500	117.2
HU	20260307-0100	111.09
HU	20260307-0500	102.34
IT-SOUTH	20260307-1600	140.64
IT-SOUTH	20260307-1200	123.8
IT-SOUTH	20260307-2200	140.64
IT-SOUTH	20260307-0300	140.64
IT-SOUTH	20260307-2000	140.64
IT-SOUTH	20260307-0800	140.64
IT-SOUTH	20260307-1900	140.64
IT-SOUTH	20260307-2100	140.64
IT-SOUTH	20260307-1800	140.64
IT-SOUTH	20260307-0900	140.64
IT-SOUTH	20260307-0000	140.64
IT-SOUTH	20260307-2300	140.64
IT-SOUTH	20260307-1000	123.8
IT-SOUTH	20260307-1100	123.8
IT-SOUTH	20260307-0200	140.64
IT-SOUTH	20260307-1700	140.64
IT-SOUTH	20260307-0400	140.64
IT-SOUTH	20260307-1400	139.44
IT-SOUTH	20260307-1300	123.8
IT-SOUTH	20260307-0600	140.64
IT-SOUTH	20260307-0700	140.64
IT-SOUTH	20260307-1500	140.64
IT-SOUTH	20260307-0100	140.64
IT-SOUTH	20260307-0500	140.64
IT-Sicily	20260307-1600	140.64
IT-Sicily	20260307-1200	123.8
IT-Sicily	20260307-2200	140.64
IT-Sicily	20260307-0300	140.64
IT-Sicily	20260307-2000	140.64
IT-Sicily	20260307-0800	140.64
IT-Sicily	20260307-1900	140.64
IT-Sicily	20260307-2100	140.64
IT-Sicily	20260307-1800	140.64
IT-Sicily	20260307-0900	140.64
IT-Sicily	20260307-0000	140.64
IT-Sicily	20260307-2300	140.64
IT-Sicily	20260307-1000	123.8
IT-Sicily	20260307-1100	123.8
IT-Sicily	20260307-0200	140.64
IT-Sicily	20260307-1700	140.64
IT-Sicily	20260307-0400	140.64
IT-Sicily	20260307-1400	139.44
IT-Sicily	20260307-1300	123.8
IT-Sicily	20260307-0600	140.64
IT-Sicily	20260307-0700	140.64
IT-Sicily	20260307-1500	140.64
IT-Sicily	20260307-0100	140.64
IT-Sicily	20260307-0500	140.64
IT-Sardinia	20260307-1600	140.64
IT-Sardinia	20260307-1200	123.8
IT-Sardinia	20260307-2200	140.64
IT-Sardinia	20260307-0300	140.64
IT-Sardinia	20260307-2000	140.64
IT-Sardinia	20260307-0800	133.03
IT-Sardinia	20260307-1900	140.64
IT-Sardinia	20260307-2100	140.64
IT-Sardinia	20260307-1800	140.64
IT-Sardinia	20260307-0900	121.49
IT-Sardinia	20260307-0000	140.64
IT-Sardinia	20260307-2300	140.64
IT-Sardinia	20260307-1000	123.8
IT-Sardinia	20260307-1100	123.8
IT-Sardinia	20260307-0200	140.64
IT-Sardinia	20260307-1700	140.64
IT-Sardinia	20260307-0400	140.64
IT-Sardinia	20260307-1400	139.44
IT-Sardinia	20260307-1300	123.8
IT-Sardinia	20260307-0600	140.64
IT-Sardinia	20260307-0700	140.64
IT-Sardinia	20260307-1500	140.64
IT-Sardinia	20260307-0100	140.64
IT-Sardinia	20260307-0500	140.64
RS	20260307-1600	145.01
RS	20260307-1200	5.39
RS	20260307-2200	117.2
RS	20260307-0300	111.43
RS	20260307-2000	117.2
RS	20260307-0800	8.06
RS	20260307-1900	117.2
RS	20260307-2100	117.2
RS	20260307-1800	140.64
RS	20260307-0900	5.39
RS	20260307-0000	117.2
RS	20260307-2300	103.43
RS	20260307-1000	5.39
RS	20260307-1100	5
RS	20260307-0200	111.09
RS	20260307-1700	155.83
RS	20260307-0400	111.15
RS	20260307-1400	67.73
RS	20260307-1300	6.17
RS	20260307-0600	83.37
RS	20260307-0700	9.5
RS	20260307-1500	117.2
RS	20260307-0100	111.09
RS	20260307-0500	102.34
DK1	20260307-1600	117.2
DK1	20260307-1200	145.04
DK1	20260307-2200	116.14
DK1	20260307-0300	103.17
DK1	20260307-2000	117.2
DK1	20260307-0800	103.17
DK1	20260307-1900	128.62
DK1	20260307-2100	117.2
DK1	20260307-1800	138.68
DK1	20260307-0900	117.2
DK1	20260307-0000	107.16
DK1	20260307-2300	117.2
DK1	20260307-1000	134.94
DK1	20260307-1100	149.93
DK1	20260307-0200	103.17
DK1	20260307-1700	123.37
DK1	20260307-0400	103.17
DK1	20260307-1400	101.41
DK1	20260307-1300	134.94
DK1	20260307-0600	117.2
DK1	20260307-0700	103.17
DK1	20260307-1500	103.17
DK1	20260307-0100	103.17
DK1	20260307-0500	117.2
CH	20260307-1600	117.2
CH	20260307-1200	40.37
CH	20260307-2200	116.14
CH	20260307-0300	103.17
CH	20260307-2000	117.2
CH	20260307-0800	91.74
CH	20260307-1900	128.62
CH	20260307-2100	117.2
CH	20260307-1800	138.68
CH	20260307-0900	74.69
CH	20260307-0000	107.16
CH	20260307-2300	117.2
CH	20260307-1000	67.03
CH	20260307-1100	40.37
CH	20260307-0200	103.17
CH	20260307-1700	123.37
CH	20260307-0400	103.17
CH	20260307-1400	91.74
CH	20260307-1300	68.24
CH	20260307-0600	117.2
CH	20260307-0700	103.17
CH	20260307-1500	103.17
CH	20260307-0100	103.17
CH	20260307-0500	117.2
SE1	20260307-1600	1
SE1	20260307-1200	1
SE1	20260307-2200	1
SE1	20260307-0300	1
SE1	20260307-2000	1
SE1	20260307-0800	1
SE1	20260307-1900	1
SE1	20260307-2100	1
SE1	20260307-1800	1
SE1	20260307-0900	1
SE1	20260307-0000	1
SE1	20260307-2300	1
SE1	20260307-1000	55.48
SE1	20260307-1100	55.48
SE1	20260307-0200	1
SE1	20260307-1700	1
SE1	20260307-0400	1
SE1	20260307-1400	1
SE1	20260307-1300	1
SE1	20260307-0600	1
SE1	20260307-0700	1
SE1	20260307-1500	1
SE1	20260307-0100	1
SE1	20260307-0500	1
NO4	20260307-1600	43.31
NO4	20260307-1200	44.24
NO4	20260307-2200	35.59
NO4	20260307-0300	28.03
NO4	20260307-2000	39.19
NO4	20260307-0800	47.36
NO4	20260307-1900	41.32
NO4	20260307-2100	37.12
NO4	20260307-1800	42.89
NO4	20260307-0900	47.5
NO4	20260307-0000	27.06
NO4	20260307-2300	32.36
NO4	20260307-1000	45.29
NO4	20260307-1100	41.6
NO4	20260307-0200	26.66
NO4	20260307-1700	43.73
NO4	20260307-0400	37.4
NO4	20260307-1400	43.05
NO4	20260307-1300	45.42
NO4	20260307-0600	44.95
NO4	20260307-0700	45.71
NO4	20260307-1500	42.48
NO4	20260307-0100	25.91
NO4	20260307-0500	42.92
SE3	20260307-1600	105.48
SE3	20260307-1200	123.37
SE3	20260307-2200	92.85
SE3	20260307-0300	92.85
SE3	20260307-2000	105.48
SE3	20260307-0800	92.85
SE3	20260307-1900	105.48
SE3	20260307-2100	92.85
SE3	20260307-1800	105.48
SE3	20260307-0900	105.48
SE3	20260307-0000	92.11
SE3	20260307-2300	95.46
SE3	20260307-1000	121.45
SE3	20260307-1100	123.37
SE3	20260307-0200	92.11
SE3	20260307-1700	105.48
SE3	20260307-0400	92.85
SE3	20260307-1400	82.57
SE3	20260307-1300	121.45
SE3	20260307-0600	92.85
SE3	20260307-0700	92.11
SE3	20260307-1500	92.11
SE3	20260307-0100	92.11
SE3	20260307-0500	92.11
FR	20260307-1600	73.87
FR	20260307-1200	40.37
FR	20260307-2200	116.14
FR	20260307-0300	56.57
FR	20260307-2000	117.2
FR	20260307-0800	72.38
FR	20260307-1900	128.62
FR	20260307-2100	117.2
FR	20260307-1800	138.68
FR	20260307-0900	45.52
FR	20260307-0000	83.72
FR	20260307-2300	117.2
FR	20260307-1000	41.67
FR	20260307-1100	40.37
FR	20260307-0200	70.92
FR	20260307-1700	117.2
FR	20260307-0400	57
FR	20260307-1400	47.99
FR	20260307-1300	43.23
FR	20260307-0600	83.37
FR	20260307-0700	83.37
FR	20260307-1500	49.49
FR	20260307-0100	74.69
FR	20260307-0500	71.6
FI	20260307-1600	5
FI	20260307-1200	9.5
FI	20260307-2200	3.97
FI	20260307-0300	6.17
FI	20260307-2000	3.97
FI	20260307-0800	9.5
FI	20260307-1900	3.97
FI	20260307-2100	4.8
FI	20260307-1800	4.8
FI	20260307-0900	15.75
FI	20260307-0000	5
FI	20260307-2300	5
FI	20260307-1000	9.5
FI	20260307-1100	9.5
FI	20260307-0200	5
FI	20260307-1700	5
FI	20260307-0400	9.5
FI	20260307-1400	5
FI	20260307-1300	5
FI	20260307-0600	9.5
FI	20260307-0700	9.5
FI	20260307-1500	5
FI	20260307-0100	5
FI	20260307-0500	9.5
PL	20260307-1600	94.56
PL	20260307-1200	56.57
PL	20260307-2200	91.74
PL	20260307-0300	91.74
PL	20260307-2000	91.74
PL	20260307-0800	56.57
PL	20260307-1900	91.74
PL	20260307-2100	91.74
PL	20260307-1800	102.34
PL	20260307-0900	56.57
PL	20260307-0000	91.74
PL	20260307-2300	91.74
PL	20260307-1000	6.17
PL	20260307-1100	9.5
PL	20260307-0200	91.74
PL	20260307-1700	102.34
PL	20260307-0400	91.74
PL	20260307-1400	91.74
PL	20260307-1300	56.57
PL	20260307-0600	91.74
PL	20260307-0700	83.37
PL	20260307-1500	91.74
PL	20260307-0100	91.74
PL	20260307-0500	91.74
IT-Calabria	20260307-1600	140.64
IT-Calabria	20260307-1200	123.8
IT-Calabria	20260307-2200	140.64
IT-Calabria	20260307-0300	140.64
IT-Calabria	20260307-2000	140.64
IT-Calabria	20260307-0800	140.64
IT-Calabria	20260307-1900	140.64
IT-Calabria	20260307-2100	140.64
IT-Calabria	20260307-1800	140.64
IT-Calabria	20260307-0900	140.64
IT-Calabria	20260307-0000	140.64
IT-Calabria	20260307-2300	140.64
IT-Calabria	20260307-1000	123.8
IT-Calabria	20260307-1100	123.8
IT-Calabria	20260307-0200	140.64
IT-Calabria	20260307-1700	140.64
IT-Calabria	20260307-0400	140.64
IT-Calabria	20260307-1400	139.44
IT-Calabria	20260307-1300	123.8
IT-Calabria	20260307-0600	140.64
IT-Calabria	20260307-0700	140.64
IT-Calabria	20260307-1500	140.64
IT-Calabria	20260307-0100	140.64
IT-Calabria	20260307-0500	140.64
AT	20260307-1600	117.2
AT	20260307-1200	6.17
AT	20260307-2200	116.14
AT	20260307-0300	103.17
AT	20260307-2000	117.2
AT	20260307-0800	91.74
AT	20260307-1900	123.37
AT	20260307-2100	117.2
AT	20260307-1800	123.37
AT	20260307-0900	74.69
AT	20260307-0000	107.16
AT	20260307-2300	117.2
AT	20260307-1000	67.03
AT	20260307-1100	6.17
AT	20260307-0200	103.17
AT	20260307-1700	123.37
AT	20260307-0400	103.17
AT	20260307-1400	91.74
AT	20260307-1300	57
AT	20260307-0600	117.2
AT	20260307-0700	103.17
AT	20260307-1500	103.17
AT	20260307-0100	103.17
AT	20260307-0500	117.2
SE2	20260307-1600	1
SE2	20260307-1200	92.21
SE2	20260307-2200	1
SE2	20260307-0300	101.16
SE2	20260307-2000	1
SE2	20260307-0800	63.49
SE2	20260307-1900	1
SE2	20260307-2100	1
SE2	20260307-1800	1
SE2	20260307-0900	1
SE2	20260307-0000	56.79
SE2	20260307-2300	1
SE2	20260307-1000	55.48
SE2	20260307-1100	55.48
SE2	20260307-0200	89.25
SE2	20260307-1700	1
SE2	20260307-0400	102.69
SE2	20260307-1400	79.4
SE2	20260307-1300	89.22
SE2	20260307-0600	87.75
SE2	20260307-0700	73.57
SE2	20260307-1500	58.36
SE2	20260307-0100	70.24
SE2	20260307-0500	99.72
IT-NORTH	20260307-1600	140.64
IT-NORTH	20260307-1200	123.8
IT-NORTH	20260307-2200	140.64
IT-NORTH	20260307-0300	140.64
IT-NORTH	20260307-2000	140.64
IT-NORTH	20260307-0800	140.64
IT-NORTH	20260307-1900	140.64
IT-NORTH	20260307-2100	140.64
IT-NORTH	20260307-1800	140.64
IT-NORTH	20260307-0900	140.64
IT-NORTH	20260307-0000	140.64
IT-NORTH	20260307-2300	140.64
IT-NORTH	20260307-1000	123.8
IT-NORTH	20260307-1100	123.8
IT-NORTH	20260307-0200	140.64
IT-NORTH	20260307-1700	140.64
IT-NORTH	20260307-0400	140.64
IT-NORTH	20260307-1400	139.44
IT-NORTH	20260307-1300	123.8
IT-NORTH	20260307-0600	140.64
IT-NORTH	20260307-0700	140.64
IT-NORTH	20260307-1500	140.64
IT-NORTH	20260307-0100	140.64
IT-NORTH	20260307-0500	140.64
LT	20260307-1600	117.2
LT	20260307-1200	68.9
LT	20260307-2200	114.03
LT	20260307-0300	76.25
LT	20260307-2000	117.2
LT	20260307-0800	61.35
LT	20260307-1900	117.2
LT	20260307-2100	117.2
LT	20260307-1800	117.2
LT	20260307-0900	56.57
LT	20260307-0000	72.24
LT	20260307-2300	91.74
LT	20260307-1000	9.5
LT	20260307-1100	9.5
LT	20260307-0200	75.72
LT	20260307-1700	117.2
LT	20260307-0400	76.25
LT	20260307-1400	91.74
LT	20260307-1300	83.37
LT	20260307-0600	91.74
LT	20260307-0700	87.15
LT	20260307-1500	103.17
LT	20260307-0100	72.23
