day,arm,zone,ts,price
2025-11-01,A_off,NO2,20251101-2300,82.01
2025-11-01,A_off,NO2,20251101-1900,86.33
2025-11-01,A_off,NO2,20251101-0900,59.57
2025-11-01,A_off,NO2,20251101-1200,69.06
2025-11-01,A_off,NO2,20251101-1700,86.33
2025-11-01,A_off,NO2,20251101-0200,82.01
2025-11-01,A_off,NO2,20251101-0000,82.01
2025-11-01,A_off,NO2,20251101-0400,86.33
2025-11-01,A_off,NO2,20251101-1600,86.33
2025-11-01,A_off,NO2,20251101-0300,82.01
2025-11-01,A_off,NO2,20251101-2000,82.01
2025-11-01,A_off,NO2,20251101-1300,86.33
2025-11-01,A_off,NO2,20251101-1100,67.8
2025-11-01,A_off,FR,20251101-0500,19.29
2025-11-01,A_off,FR,20251101-1400,17.6
2025-11-01,A_off,FR,20251101-0800,17.02
2025-11-01,A_off,FR,20251101-0700,17.02
2025-11-01,A_off,FR,20251101-1000,14.9
2025-11-01,A_off,FR,20251101-2100,46.4
2025-11-01,A_off,FR,20251101-0100,19.29
2025-11-01,A_off,FR,20251101-0600,19.29
2025-11-01,A_off,FR,20251101-1500,19.29
2025-11-01,A_off,FR,20251101-1800,46.4
2025-11-01,A_off,FR,20251101-2200,46.4
2025-11-01,A_off,FR,20251101-2300,41.08
2025-11-01,A_off,FR,20251101-1900,46.4
2025-11-01,A_off,FR,20251101-0900,14.36
2025-11-01,A_off,FR,20251101-1200,15.56
2025-11-01,A_off,FR,20251101-1700,46.4
2025-11-01,A_off,FR,20251101-0200,19.29
2025-11-01,A_off,FR,20251101-0000,19.29
2025-11-01,A_off,FR,20251101-0400,18.74
2025-11-01,A_off,FR,20251101-1600,41.93
2025-11-01,A_off,FR,20251101-0300,19.08
2025-11-01,A_off,FR,20251101-2000,46.4
2025-11-01,A_off,FR,20251101-1300,17.6
2025-11-01,A_off,FR,20251101-1100,15.38
2025-11-01,B_on,NL,20251101-0500,82.01
2025-11-01,B_on,NL,20251101-1400,82.01
2025-11-01,B_on,NL,20251101-0800,82.01
2025-11-01,B_on,NL,20251101-0700,82.01
2025-11-01,B_on,NL,20251101-1000,61.34
2025-11-01,B_on,NL,20251101-2100,82.01
2025-11-01,B_on,NL,20251101-0100,82.01
2025-11-01,B_on,NL,20251101-0600,82.01
2025-11-01,B_on,NL,20251101-1500,82.01
2025-11-01,B_on,NL,20251101-1800,82.01
2025-11-01,B_on,NL,20251101-2200,82.01
2025-11-01,B_on,NL,20251101-2300,82.01
2025-11-01,B_on,NL,20251101-1900,82.01
2025-11-01,B_on,NL,20251101-0900,82.01
2025-11-01,B_on,NL,20251101-1200,80.72
2025-11-01,B_on,NL,20251101-1700,86.33
2025-11-01,B_on,NL,20251101-0200,82.01
2025-11-01,B_on,NL,20251101-0000,82.01
2025-11-01,B_on,NL,20251101-0400,82.01
2025-11-01,B_on,NL,20251101-1600,82.01
2025-11-01,B_on,NL,20251101-0300,82.01
2025-11-01,B_on,NL,20251101-2000,82.01
2025-11-01,B_on,NL,20251101-1300,82.01
2025-11-01,B_on,NL,20251101-1100,67.8
2025-11-01,B_on,BE,20251101-0500,57.0
2025-11-01,B_on,BE,20251101-1400,73.81
2025-11-01,B_on,BE,20251101-0800,62.55
2025-11-01,B_on,BE,20251101-0700,62.55
2025-11-01,B_on,BE,20251101-1000,51.3
2025-11-01,B_on,BE,20251101-2100,73.81
2025-11-01,B_on,BE,20251101-0100,73.81
2025-11-01,B_on,BE,20251101-0600,73.81
2025-11-01,B_on,BE,20251101-1500,73.81
2025-11-01,B_on,BE,20251101-1800,73.81
2025-11-01,B_on,BE,20251101-2200,73.81
2025-11-01,B_on,BE,20251101-2300,73.81
2025-11-01,B_on,BE,20251101-1900,73.81
2025-11-01,B_on,BE,20251101-0900,57.75
2025-11-01,B_on,BE,20251101-1200,67.5
2025-11-01,B_on,BE,20251101-1700,73.81
2025-11-01,B_on,BE,20251101-0200,63.0
2025-11-01,B_on,BE,20251101-0000,73.81
2025-11-01,B_on,BE,20251101-0400,46.33
2025-11-01,B_on,BE,20251101-1600,73.81
2025-11-01,B_on,BE,20251101-0300,63.0
2025-11-01,B_on,BE,20251101-2000,73.81
2025-11-01,B_on,BE,20251101-1300,73.81
2025-11-01,B_on,BE,20251101-1100,56.7
2025-11-01,B_on,DE_LU,20251101-0500,82.01
2025-11-01,B_on,DE_LU,20251101-1400,82.01
2025-11-01,B_on,DE_LU,20251101-0800,67.35
2025-11-01,B_on,DE_LU,20251101-0700,68.15
2025-11-01,B_on,DE_LU,20251101-1000,61.34
2025-11-01,B_on,DE_LU,20251101-2100,82.01
2025-11-01,B_on,DE_LU,20251101-0100,82.01
2025-11-01,B_on,DE_LU,20251101-0600,82.01
2025-11-01,B_on,DE_LU,20251101-1500,82.01
2025-11-01,B_on,DE_LU,20251101-1800,86.33
2025-11-01,B_on,DE_LU,20251101-2200,82.01
2025-11-01,B_on,DE_LU,20251101-2300,82.01
2025-11-01,B_on,DE_LU,20251101-1900,83.68
2025-11-01,B_on,DE_LU,20251101-0900,57.0
2025-11-01,B_on,DE_LU,20251101-1200,80.72
2025-11-01,B_on,DE_LU,20251101-1700,86.33
2025-11-01,B_on,DE_LU,20251101-0200,82.01
2025-11-01,B_on,DE_LU,20251101-0000,82.01
2025-11-01,B_on,DE_LU,20251101-0400,82.01
2025-11-01,B_on,DE_LU,20251101-1600,83.68
2025-11-01,B_on,DE_LU,20251101-0300,82.01
2025-11-01,B_on,DE_LU,20251101-2000,82.01
2025-11-01,B_on,DE_LU,20251101-1300,82.01
2025-11-01,B_on,DE_LU,20251101-1100,67.8
2025-11-01,B_on,DK1,20251101-0500,82.01
2025-11-01,B_on,DK1,20251101-1400,82.01
2025-11-01,B_on,DK1,20251101-0800,67.35
2025-11-01,B_on,DK1,20251101-0700,68.15
2025-11-01,B_on,DK1,20251101-1000,61.34
2025-11-01,B_on,DK1,20251101-2100,82.01
2025-11-01,B_on,DK1,20251101-0100,82.01
2025-11-01,B_on,DK1,20251101-0600,82.01
2025-11-01,B_on,DK1,20251101-1500,82.01
2025-11-01,B_on,DK1,20251101-1800,82.01
2025-11-01,B_on,DK1,20251101-2200,82.01
2025-11-01,B_on,DK1,20251101-2300,82.01
2025-11-01,B_on,DK1,20251101-1900,82.01
2025-11-01,B_on,DK1,20251101-0900,57.0
2025-11-01,B_on,DK1,20251101-1200,80.72
2025-11-01,B_on,DK1,20251101-1700,86.33
2025-11-01,B_on,DK1,20251101-0200,82.01
2025-11-01,B_on,DK1,20251101-0000,82.01
2025-11-01,B_on,DK1,20251101-0400,82.01
2025-11-01,B_on,DK1,20251101-1600,82.01
2025-11-01,B_on,DK1,20251101-0300,82.01
2025-11-01,B_on,DK1,20251101-2000,82.01
2025-11-01,B_on,DK1,20251101-1300,82.01
2025-11-01,B_on,DK1,20251101-1100,67.8
2025-11-01,B_on,NO2,20251101-0500,86.33
2025-11-01,B_on,NO2,20251101-1400,86.33
2025-11-01,B_on,NO2,20251101-0800,68.15
2025-11-01,B_on,NO2,20251101-0700,68.15
2025-11-01,B_on,NO2,20251101-1000,61.34
2025-11-01,B_on,NO2,20251101-2100,82.01
2025-11-01,B_on,NO2,20251101-0100,82.01
2025-11-01,B_on,NO2,20251101-0600,86.33
2025-11-01,B_on,NO2,20251101-1500,86.33
2025-11-01,B_on,NO2,20251101-1800,86.33
2025-11-01,B_on,NO2,20251101-2200,82.01
2025-11-01,B_on,NO2,20251101-2300,82.01
2025-11-01,B_on,NO2,20251101-1900,86.33
2025-11-01,B_on,NO2,20251101-0900,59.57
2025-11-01,B_on,NO2,20251101-1200,80.72
2025-11-01,B_on,NO2,20251101-1700,86.33
2025-11-01,B_on,NO2,20251101-0200,82.01
2025-11-01,B_on,NO2,20251101-0000,82.01
2025-11-01,B_on,NO2,20251101-0400,86.33
2025-11-01,B_on,NO2,20251101-1600,86.33
2025-11-01,B_on,NO2,20251101-0300,82.01
2025-11-01,B_on,NO2,20251101-2000,82.01
2025-11-01,B_on,NO2,20251101-1300,86.33
2025-11-01,B_on,NO2,20251101-1100,67.8
2025-11-01,B_on,FR,20251101-0500,19.29
2025-11-01,B_on,FR,20251101-1400,250.0
2025-11-01,B_on,FR,20251101-0800,17.02
2025-11-01,B_on,FR,20251101-0700,17.02
2025-11-01,B_on,FR,20251101-1000,14.9
2025-11-01,B_on,FR,20251101-2100,46.4
2025-11-01,B_on,FR,20251101-0100,19.29
2025-11-01,B_on,FR,20251101-0600,19.29
2025-11-01,B_on,FR,20251101-1500,19.29
2025-11-01,B_on,FR,20251101-1800,46.4
2025-11-01,B_on,FR,20251101-2200,46.4
2025-11-01,B_on,FR,20251101-2300,41.08
2025-11-01,B_on,FR,20251101-1900,46.4
2025-11-01,B_on,FR,20251101-0900,14.36
2025-11-01,B_on,FR,20251101-1200,16.54
2025-11-01,B_on,FR,20251101-1700,46.4
2025-11-01,B_on,FR,20251101-0200,19.29
2025-11-01,B_on,FR,20251101-0000,19.29
2025-11-01,B_on,FR,20251101-0400,18.74
2025-11-01,B_on,FR,20251101-1600,41.93
2025-11-01,B_on,FR,20251101-0300,19.08
2025-11-01,B_on,FR,20251101-2000,46.4
2025-11-01,B_on,FR,20251101-1300,17.6
2025-11-01,B_on,FR,20251101-1100,15.38
2025-05-01,A_off,NL,20250501-1700,90.09
2025-05-01,A_off,NL,20250501-1200,44.11
2025-05-01,A_off,NL,20250501-0500,89.5
2025-05-01,A_off,NL,20250501-2200,89.5
2025-05-01,A_off,NL,20250501-2100,89.5
2025-05-01,A_off,NL,20250501-1000,79.9
2025-05-01,A_off,NL,20250501-1800,89.5
2025-05-01,A_off,NL,20250501-2000,89.5
2025-05-01,A_off,NL,20250501-1500,79.9
2025-05-01,A_off,NL,20250501-1300,54.21
2025-05-01,A_off,NL,20250501-0700,79.9
2025-05-01,A_off,NL,20250501-0100,79.9
2025-05-01,A_off,NL,20250501-0800,79.9
2025-05-01,A_off,NL,20250501-0900,79.9
2025-05-01,A_off,NL,20250501-1100,44.11
2025-05-01,A_off,NL,20250501-0200,89.5
2025-05-01,A_off,NL,20250501-2300,84.11
2025-05-01,A_off,NL,20250501-0400,89.5
2025-05-01,A_off,NL,20250501-1900,95.88
2025-05-01,A_off,NL,20250501-0000,79.9
2025-05-01,A_off,NL,20250501-0300,79.9
2025-05-01,A_off,NL,20250501-0600,89.5
2025-05-01,A_off,NL,20250501-1400,79.9
2025-05-01,A_off,NL,20250501-1600,89.5
2025-05-01,A_off,BE,20250501-1700,89.5
2025-05-01,A_off,BE,20250501-1200,9.5
2025-05-01,A_off,BE,20250501-0500,80.55
2025-05-01,A_off,BE,20250501-2200,80.55
2025-05-01,A_off,BE,20250501-2100,84.07
2025-05-01,A_off,BE,20250501-1000,9.5
2025-05-01,A_off,BE,20250501-1800,84.11
2025-05-01,A_off,BE,20250501-2000,89.5
2025-05-01,A_off,BE,20250501-1500,68.76
2025-05-01,A_off,BE,20250501-1300,10.5
2025-05-01,A_off,BE,20250501-0700,58.14
2025-05-01,A_off,BE,20250501-0100,79.9
2025-05-01,A_off,BE,20250501-0800,12.55
2025-05-01,A_off,BE,20250501-0900,9.5
2025-05-01,A_off,BE,20250501-1100,9.5
2025-05-01,A_off,BE,20250501-0200,80.55
2025-05-01,A_off,BE,20250501-2300,79.9
2025-05-01,A_off,BE,20250501-0400,80.55
2025-05-01,A_off,BE,20250501-1900,95.88
2025-05-01,A_off,BE,20250501-0000,79.9
2025-05-01,A_off,BE,20250501-0300,79.56
2025-05-01,A_off,BE,20250501-0600,74.88
2025-05-01,A_off,BE,20250501-1400,16.11
2025-05-01,A_off,BE,20250501-1600,80.55
2025-05-01,A_off,DE_LU,20250501-1700,90.09
2025-05-01,A_off,DE_LU,20250501-1200,2.85
2025-05-01,A_off,DE_LU,20250501-0500,89.5
2025-05-01,A_off,DE_LU,20250501-2200,89.5
2025-05-01,A_off,DE_LU,20250501-2100,89.5
2025-05-01,A_off,DE_LU,20250501-1000,3.06
2025-05-01,A_off,DE_LU,20250501-1800,95.88
2025-05-01,A_off,DE_LU,20250501-2000,89.5
2025-05-01,A_off,DE_LU,20250501-1500,76.12
2025-05-01,A_off,DE_LU,20250501-1300,2.85
2025-05-01,A_off,DE_LU,20250501-0700,33.59
2025-05-01,A_off,DE_LU,20250501-0100,89.5
2025-05-01,A_off,DE_LU,20250501-0800,5.0
2025-05-01,A_off,DE_LU,20250501-0900,3.75
2025-05-01,A_off,DE_LU,20250501-1100,2.85
2025-05-01,A_off,DE_LU,20250501-0200,89.5
2025-05-01,A_off,DE_LU,20250501-2300,84.11
2025-05-01,A_off,DE_LU,20250501-0400,89.5
2025-05-01,A_off,DE_LU,20250501-1900,95.88
2025-05-01,A_off,DE_LU,20250501-0000,89.5
2025-05-01,A_off,DE_LU,20250501-0300,89.5
2025-05-01,A_off,DE_LU,20250501-0600,79.9
2025-05-01,A_off,DE_LU,20250501-1400,9.5
2025-05-01,A_off,DE_LU,20250501-1600,89.5
2025-05-01,A_off,DK1,20250501-1700,90.09
2025-05-01,A_off,DK1,20250501-1200,44.11
2025-05-01,A_off,DK1,20250501-0500,89.5
2025-05-01,A_off,DK1,20250501-2200,89.5
2025-05-01,A_off,DK1,20250501-2100,89.5
2025-05-01,A_off,DK1,20250501-1000,79.9
2025-05-01,A_off,DK1,20250501-1800,89.5
2025-05-01,A_off,DK1,20250501-2000,89.5
2025-05-01,A_off,DK1,20250501-1500,76.12
2025-05-01,A_off,DK1,20250501-1300,54.21
2025-05-01,A_off,DK1,20250501-0700,79.9
2025-05-01,A_off,DK1,20250501-0100,89.5
2025-05-01,A_off,DK1,20250501-0800,79.9
2025-05-01,A_off,DK1,20250501-0900,79.9
2025-05-01,A_off,DK1,20250501-1100,44.11
2025-05-01,A_off,DK1,20250501-0200,89.5
2025-05-01,A_off,DK1,20250501-2300,84.11
2025-05-01,A_off,DK1,20250501-0400,89.5
2025-05-01,A_off,DK1,20250501-1900,95.88
