zone,day,n_hours,model_max,actual_max,actual_mean_day
NO1,2025-06-03,1,3000,73,47
NO1,2025-06-04,1,3000,47,52
NO1,2025-06-05,5,3000,85,57
NO1,2025-06-07,2,3000,37,46
NO1,2025-06-08,5,3000,34,26
NO1,2025-06-10,3,3000,49,57
NO1,2025-06-15,4,3000,85,50
NO1,2025-06-16,1,3000,34,62
NO1,2025-06-17,5,3000,48,62
NO1,2025-06-18,7,3000,64,55
NO1,2025-06-19,1,3000,39,46
NO1,2025-06-20,8,3000,67,65
NO1,2025-06-22,3,3000,1,38
NO1,2025-06-28,2,3000,0,5
NO1,2025-07-05,2,3000,1,17
NO1,2025-08-18,2,3000,172,97
NO1,2025-09-24,2,3000,68,62
NO1,2025-09-25,1,3000,68,64
NO1,2025-10-31,7,3000,66,62
NO1,2025-11-01,1,3000,19,38
NO1,2025-11-16,1,3000,91,76
NO1,2025-11-18,2,3000,140,99
NO1,2025-11-19,4,3000,144,115
NO1,2025-11-20,20,3000,175,124
NO1,2025-11-21,14,3000,244,143
NO1,2025-12-25,1,3000,64,63
NO1,2025-12-26,4,3000,67,70
NO1,2026-01-03,1,3000,85,87
NO1,2026-01-06,8,3000,148,125
NO1,2026-01-07,5,3000,99,95
NO1,2026-01-08,24,3000,296,157
NO1,2026-01-21,1,3000,120,107
NO1,2026-01-23,9,3000,136,107
NO1,2026-01-24,12,3000,141,109
NO1,2026-01-25,10,3000,120,109
NO1,2026-01-26,4,3000,99,135
NO1,2026-01-28,4,3000,119,136
NO1,2026-01-29,17,3000,157,130
NO1,2026-01-30,7,3000,105,110
NO1,2026-05-11,9,3000,147,120
NO1,2026-05-12,2,3000,97,112
NO1,2026-05-13,2,3000,107,119
NO1,2026-05-14,6,3000,95,106
NO1,2026-05-15,8,3000,129,111
NO1,2026-05-16,6,3000,110,97
NO1,2026-05-18,6,3000,128,132
NO1,2026-05-20,4,3000,140,107
NO1,2026-05-21,2,3000,137,111
NO1,2026-05-31,2,3000,39,83
NO1,2026-06-01,4,3000,117,114
NO1,2026-06-05,1,3000,90,90
NO1,2026-06-07,1,3000,1,47
NO3,2024-07-05,3,3000,30,22
NO3,2024-08-21,2,3000,8,7
