zone,hod,model,actual,bias
IT-CNORTH,7,133.7,131.3,2.4
IT-CNORTH,8,134.3,120.0,14.3
IT-CNORTH,9,123.0,109.5,13.6
IT-CNORTH,10,115.4,99.9,15.5
IT-CNORTH,11,107.2,95.3,11.9
IT-CNORTH,12,108.8,97.9,10.9
IT-CNORTH,13,115.3,104.1,11.2
IT-CNORTH,14,121.3,114.7,6.6
IT-CNORTH,15,128.9,127.9,0.9
IT-CNORTH,16,134.6,142.4,-7.9
IT-CNORTH,17,142.0,157.7,-15.7
IT-CNORTH,18,143.3,160.7,-17.4
IT-CNORTH,19,128.8,145.4,-16.6
IT-CNORTH,20,117.9,132.3,-14.5
IT-CNORTH,21,114.3,123.3,-9.0
IT-CNORTH,22,113.0,119.6,-6.6
IT-CNORTH,23,112.1,115.3,-3.2
SI,0,82.1,93.8,-11.6
SI,1,79.2,91.8,-12.6
SI,2,81.1,91.8,-10.7
SI,3,88.5,97.1,-8.6
SI,4,96.6,108.9,-12.3
SI,5,100.0,120.3,-20.3
SI,6,96.4,120.4,-24.0
SI,7,90.1,104.6,-14.6
SI,8,79.4,86.6,-7.2
SI,9,72.3,73.9,-1.5
SI,10,69.8,66.0,3.9
SI,11,68.4,61.4,7.0
SI,12,73.4,64.4,9.0
SI,13,85.7,77.9,7.8
SI,14,101.5,101.1,0.4
SI,15,127.7,127.4,0.3
SI,16,143.8,153.0,-9.2
SI,17,158.0,172.4,-14.4
SI,18,156.9,171.8,-14.8
SI,19,132.8,142.7,-9.9
SI,20,114.4,124.5,-10.1
SI,21,104.7,112.3,-7.6
SI,22,96.5,103.9,-7.3
SI,23,88.7,97.9,-9.2
RO,0,94.2,94.5,-0.3
RO,1,91.9,92.3,-0.4
RO,2,92.6,92.6,-0.1
RO,3,96.1,98.8,-2.7
RO,4,103.2,112.5,-9.3
RO,5,109.8,123.2,-13.4
RO,6,109.8,118.1,-8.4
RO,7,101.8,96.9,4.9
RO,8,87.5,77.3,10.2
RO,9,75.8,66.1,9.7
RO,10,70.6,60.1,10.5
RO,11,70.1,58.8,11.3
RO,12,75.4,63.6,11.9
RO,13,86.4,79.0,7.3
RO,14,104.8,107.8,-3.0
RO,15,141.6,145.7,-4.1
RO,16,181.9,179.4,2.5
RO,17,203.0,207.3,-4.2
RO,18,190.8,200.3,-9.5
RO,19,158.2,161.2,-2.9
RO,20,127.9,131.9,-3.9
RO,21,111.4,116.7,-5.3
RO,22,103.3,106.2,-2.9
RO,23,97.9,99.2,-1.3
HU,0,85.5,95.7,-10.2
HU,1,83.9,93.4,-9.4
HU,2,85.3,93.5,-8.1
HU,3,90.2,99.7,-9.5
HU,4,97.2,113.2,-16.0
HU,5,100.1,125.2,-25.1
HU,6,95.4,122.9,-27.5
HU,7,88.6,103.4,-14.8
HU,8,78.3,83.1,-4.8
HU,9,72.1,69.7,2.4
HU,10,71.1,61.2,9.9
HU,11,69.5,56.7,12.8
HU,12,73.5,60.4,13.1
HU,13,81.8,76.0,5.8
HU,14,98.1,104.6,-6.4
HU,15,130.2,142.3,-12.1
HU,16,156.6,180.8,-24.2
HU,17,169.8,211.6,-41.7
HU,18,165.9,208.0,-42.1
HU,19,140.6,168.3,-27.7
HU,20,115.3,136.6,-21.3
HU,21,103.8,119.4,-15.6
HU,22,95.5,108.1,-12.5
HU,23,89.8,100.7,-10.9
RS,0,94.4,91.2,3.2
RS,1,92.1,86.7,5.4
RS,2,92.7,86.8,5.9
RS,3,96.1,92.2,3.8
RS,4,102.6,104.6,-2.0
RS,5,108.6,116.0,-7.5
RS,6,109.8,112.8,-3.0
RS,7,103.0,95.7,7.3
RS,8,90.3,78.1,12.2
RS,9,80.8,68.6,12.2
RS,10,76.2,63.4,12.8
RS,11,74.6,62.7,11.9
RS,12,78.4,66.4,11.9
RS,13,87.6,79.1,8.5
RS,14,105.4,103.5,2.0
RS,15,137.6,137.2,0.4
RS,16,168.8,169.8,-1.1
RS,17,186.1,193.8,-7.8
RS,18,182.2,188.3,-6.0
RS,19,156.2,153.5,2.7
RS,20,128.8,128.0,0.9
RS,21,112.1,114.9,-2.8
RS,22,104.1,105.3,-1.2
RS,23,98.4,98.2,0.2
