zone,ts,price
IT-Sardinia,20240822-2300,108.22
IT-Sardinia,20240822-2200,108.22
IT-Sardinia,20240822-1400,108.22
IT-Sardinia,20240822-1300,108.22
IT-Sardinia,20240822-2100,113.81
IT-Sardinia,20240822-0200,108.22
IT-Sardinia,20240822-2000,113.81
IT-Sardinia,20240822-0300,108.22
IT-Sardinia,20240822-0500,108.22
IT-Sardinia,20240822-0000,108.22
IT-Sardinia,20240822-0900,108.22
IT-Sardinia,20240822-1800,113.81000000000004
IT-Sardinia,20240822-0400,108.22
IT-Sardinia,20240822-1000,108.22
IT-Sardinia,20240822-1700,108.22
IT-Sardinia,20240822-0100,108.22
IT-Sardinia,20240822-1900,125.21
IT-Sardinia,20240822-1100,108.22
IT-Sardinia,20240822-1200,108.22
IT-Sardinia,20240822-0800,108.22
IT-Sardinia,20240822-1500,108.22
IT-Sardinia,20240822-0600,108.22
IT-Sardinia,20240822-0700,108.22
IT-Sardinia,20240822-1600,108.22
RS,20240822-2300,106.14
RS,20240822-2200,106.66
RS,20240822-1400,106.66
RS,20240822-1300,106.66
RS,20240822-2100,106.66
RS,20240822-0200,106.66
RS,20240822-2000,106.66
RS,20240822-0300,106.66
RS,20240822-0500,106.66
RS,20240822-0000,106.66
RS,20240822-0900,106.66
RS,20240822-1800,167.1
RS,20240822-0400,106.66
RS,20240822-1000,106.66
RS,20240822-1700,143.0
RS,20240822-0100,106.66
RS,20240822-1900,108.22
RS,20240822-1100,106.66
RS,20240822-1200,106.66
RS,20240822-0800,106.66
RS,20240822-1500,122.09
RS,20240822-0600,106.66
RS,20240822-0700,99.68
RS,20240822-1600,139.68
DK1,20240822-2300,21.14
DK1,20240822-2200,21.14
DK1,20240822-1400,33.16
DK1,20240822-1300,4.75
DK1,20240822-2100,1.0
DK1,20240822-0200,21.14
DK1,20240822-2000,4.99
DK1,20240822-0300,27.69
DK1,20240822-0500,45.01
DK1,20240822-0000,18.09
DK1,20240822-0900,28.18
DK1,20240822-1800,1.0
DK1,20240822-0400,43.74
DK1,20240822-1000,4.75
DK1,20240822-1700,2.0
DK1,20240822-0100,18.09
DK1,20240822-1900,1.0
DK1,20240822-1100,3.15
DK1,20240822-1200,3.0
DK1,20240822-0800,59.83
DK1,20240822-1500,27.69
DK1,20240822-0600,90.19
DK1,20240822-0700,90.19
DK1,20240822-1600,29.54
CH,20240822-2300,70.34
CH,20240822-2200,79.68
CH,20240822-1400,55.28
CH,20240822-1300,46.27
CH,20240822-2100,83.02
CH,20240822-0200,90.19
CH,20240822-2000,94.84
CH,20240822-0300,94.84
CH,20240822-0500,94.93
CH,20240822-0000,90.19
CH,20240822-0900,59.37
CH,20240822-1800,106.65999999999995
CH,20240822-0400,94.84
CH,20240822-1000,49.25
CH,20240822-1700,94.93
CH,20240822-0100,90.19
CH,20240822-1900,94.93
CH,20240822-1100,45.93
CH,20240822-1200,46.23
CH,20240822-0800,69.79
CH,20240822-1500,72.16
CH,20240822-0600,94.84
CH,20240822-0700,90.49
CH,20240822-1600,94.84
SE1,20240822-2300,1.0
SE1,20240822-2200,1.0
SE1,20240822-1400,21.71
SE1,20240822-1300,21.71
SE1,20240822-2100,1.0
SE1,20240822-0200,29.9
SE1,20240822-2000,1.0
SE1,20240822-0300,35.2
SE1,20240822-0500,39.39
SE1,20240822-0000,29.17
SE1,20240822-0900,34.69
SE1,20240822-1800,1.0
SE1,20240822-0400,37.03
SE1,20240822-1000,31.36
SE1,20240822-1700,1.0
SE1,20240822-0100,28.71
SE1,20240822-1900,1.0
SE1,20240822-1100,27.67
SE1,20240822-1200,23.71
SE1,20240822-0800,36.69
SE1,20240822-1500,1.0
SE1,20240822-0600,39.79
SE1,20240822-0700,38.71
SE1,20240822-1600,1.0
NO4,20240822-2300,31.44
NO4,20240822-2200,32.22
NO4,20240822-1400,31.82
